Year, NodeId, Gender, Age, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
1962.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.42,1,0,2,8,1,4,1,2,8,0,0,0,0,0,0,0,0,0
1962.42,1,0,3,4,0,4,0,0,4,0,0,1,1,0,0,0,0,0
1962.42,1,0,4,4,1,1,1,1,4,0,0,1,1,0,0,0,0,0
1962.42,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.42,1,0,6,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0
1962.42,1,0,7,7,1,2,1,3,7,0,0,0,0,0,0,0,0,0
1962.42,1,0,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.42,1,0,9,6,0,2,4,0,6,0,0,1,1,0,0,0,0,0
1962.42,1,0,10,6,1,0,3,2,6,0,0,1,1,0,0,0,0,0
1962.42,1,0,11,5,1,1,2,1,5,0,0,0,0,0,0,0,0,0
1962.42,1,0,12,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0
1962.42,1,0,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.42,1,0,14,6,0,2,2,2,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,15,3,0,0,1,2,3,0,0,2,2,0,0,0,0,0
1962.42,1,0,16,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0
1962.42,1,0,17,8,3,3,2,0,8,0,0,0,0,0,0,0,0,0
1962.42,1,0,18,7,1,3,3,0,7,0,0,0,0,0,0,0,0,0
1962.42,1,0,19,15,3,7,5,0,15,0,0,0,0,0,0,0,0,0
1962.42,1,0,20,8,0,7,1,0,8,0,0,0,0,0,0,0,0,0
1962.42,1,0,21,8,1,5,2,0,8,0,0,0,0,0,0,0,0,0
1962.42,1,0,22,5,1,1,3,0,5,0,0,0,0,0,0,0,0,0
1962.42,1,0,23,5,1,0,3,1,5,0,0,0,0,0,0,0,0,0
1962.42,1,0,24,9,1,5,3,0,9,0,0,0,0,0,0,0,0,0
1962.42,1,0,25,6,0,4,2,0,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,26,7,2,3,1,1,7,0,0,1,1,0,0,0,0,0
1962.42,1,0,27,9,2,1,4,2,9,0,0,0,0,0,0,0,0,0
1962.42,1,0,28,8,5,1,2,0,8,0,0,0,0,0,0,0,0,0
1962.42,1,0,29,6,1,2,3,0,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,30,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0
1962.42,1,0,31,6,0,3,3,0,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,32,6,1,1,3,1,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,33,6,0,2,3,1,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,34,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.42,1,0,35,6,3,1,2,0,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,36,6,1,1,2,2,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,37,4,2,1,0,1,4,0,0,0,0,0,0,0,0,0
1962.42,1,0,38,7,0,4,3,0,7,0,0,0,0,0,0,0,0,0
1962.42,1,0,39,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1962.42,1,0,40,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0
1962.42,1,0,41,4,0,3,0,1,4,0,0,1,1,0,0,0,0,0
1962.42,1,0,42,10,2,4,4,0,10,0,0,0,0,0,0,0,0,0
1962.42,1,0,43,3,1,0,1,1,3,0,0,0,0,0,0,0,0,0
1962.42,1,0,44,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0
1962.42,1,0,45,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0
1962.42,1,0,46,6,1,3,2,0,6,0,0,0,0,0,0,0,0,0
1962.42,1,0,47,5,1,2,1,1,5,0,0,0,0,0,0,0,0,0
1962.42,1,0,48,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.42,1,0,49,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1962.42,1,0,50,4,1,1,1,1,4,0,0,0,0,0,0,0,0,0
1962.42,1,0,51,2,0,1,1,0,2,0,0,1,1,0,0,0,0,0
1962.42,1,0,52,8,2,5,0,1,8,0,0,0,0,0,0,0,0,0
