Year,HBAAG_total,HM_total,HBAAG_hiv,HM_hiv 
1960.92,, 120.0,, 120.0
1961.42,, 67.0,, 67.0
1961.92,, 29.0,, 29.0
1962.42,19,19.0,19,19.0
1962.92,15,15.0,15,15.0
1963.42,20,20.0,20,20.0
1963.92,9,9.0,9,9.0
1964.42,18,18.0,18,18.0
1964.92,16,16.0,16,16.0
1965.42,34,34.0,34,34.0
1965.92,7,7.0,7,7.0
1966.42,7,7.0,7,7.0
1966.92,4,4.0,4,4.0
1967.42,3,3.0,3,3.0
1967.92,1,1.0,1,1.0
1968.42,21,21.0,21,21.0
1968.92,15,15.0,15,15.0
1969.42,16,16.0,16,16.0
1969.92,7,7.0,7,7.0
1970.42,14,14.0,14,14.0
1970.92,6,6.0,6,6.0
1971.42,9,9.0,9,9.0
1971.92,19,19.0,19,19.0
1972.42,11,11.0,11,11.0
1972.92,14,14.0,14,14.0
1973.42,21,21.0,21,21.0
1973.92,24,24.0,24,24.0
1974.42,24,24.0,24,24.0
1974.92,19,19.0,19,19.0
1975.42,17,17.0,17,17.0
1975.92,14,14.0,14,14.0
1976.42,11,11.0,11,11.0
1976.92,18,22.0,18,22.0
1977.42,14,11.0,14,11.0
1977.92,13,16.0,13,16.0
1978.42,, 17.0,, 17.0
1978.92,, 6.0,, 6.0
1979.42,, 9.0,, 9.0
1979.92,, 12.0,, 12.0
1980.42,, 15.0,, 15.0
1980.92,, 11.0,, 11.0
1981.42,, 11.0,, 11.0
1981.92,, 3.0,, 3.0
1982.42,, 3.0,, 3.0
1982.92,, 8.0,, 8.0
1983.42,, 10.0,, 10.0
1983.92,, 5.0,, 5.0
1984.42,, 10.0,, 10.0
1984.92,, 6.0,, 6.0
1985.42,, 3.0,, 3.0
1985.92,, 3.0,, 3.0
1986.42,, 4.0,, 4.0
1986.92,, 5.0,, 5.0
1987.42,, 3.0,, 3.0
1987.92,, 2.0,, 2.0
