Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,0,0,148,0,0,0,4,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,161,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,140,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,147,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,135,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,124,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,102,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,126,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,107,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,112,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,115,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,103,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,98,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,94,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,95,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,98,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,79,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,76,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,74,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,68,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,72,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,63,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,59,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,63,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,58,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,29,67,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,58,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,42,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,56,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,41,52,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,42,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,45,31,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,48,31,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,49,37,0,0,0,3,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,50,33,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,51,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,52,28,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,53,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,54,26,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,56,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,57,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,59,10,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,60,19,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,61,13,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,62,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,63,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,64,21,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,65,19,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,66,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,67,11,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,68,11,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,69,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,71,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,72,10,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,73,8,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,74,11,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,88,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
