Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
2022.42,1,0,0,109,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,1,81,6,0,0,0,0,0,0,0,0,0
2022.42,1,0,2,84,8,0,0,1,1,0,0,0,0,0
2022.42,1,0,3,81,8,0,0,4,4,0,0,0,0,0
2022.42,1,0,4,83,13,0,0,1,1,0,0,0,0,0
2022.42,1,0,5,103,10,0,0,1,1,0,0,0,0,0
2022.42,1,0,6,100,13,0,0,0,0,0,0,0,0,0
2022.42,1,0,7,75,10,0,0,1,1,0,0,0,0,0
2022.42,1,0,8,92,9,0,0,1,1,0,0,0,0,0
2022.42,1,0,9,76,14,0,0,1,1,0,0,0,0,0
2022.42,1,0,10,83,4,0,0,2,2,0,0,0,0,0
2022.42,1,0,11,93,9,0,0,2,2,0,0,0,0,0
2022.42,1,0,12,72,11,0,0,2,2,0,0,0,0,0
2022.42,1,0,13,81,15,0,0,1,1,0,0,0,0,0
2022.42,1,0,14,67,7,0,0,1,1,0,0,0,0,0
2022.42,1,0,15,88,8,0,0,2,2,0,0,0,0,0
2022.42,1,0,16,85,21,0,0,0,0,0,0,0,0,0
2022.42,1,0,17,95,19,0,0,0,0,0,0,0,0,0
2022.42,1,0,18,81,15,0,0,0,0,0,0,0,0,0
2022.42,1,0,19,81,16,0,0,0,0,0,0,0,0,0
2022.42,1,0,20,103,28,0,0,0,0,0,0,0,0,0
2022.42,1,0,21,78,14,0,0,0,0,0,0,0,0,0
2022.42,1,0,22,70,10,0,0,0,0,0,0,0,0,0
2022.42,1,0,23,92,21,0,0,0,0,0,0,0,0,0
2022.42,1,0,24,104,17,0,0,0,0,0,0,0,0,0
2022.42,1,0,25,92,18,0,0,0,0,0,0,0,0,0
2022.42,1,0,26,102,20,0,0,0,0,0,0,0,0,0
2022.42,1,0,27,87,21,0,0,0,0,0,0,0,0,0
2022.42,1,0,28,102,16,0,0,2,2,0,0,0,0,0
2022.42,1,0,29,100,24,0,0,0,0,0,0,0,0,0
2022.42,1,0,30,106,27,0,0,0,0,0,0,0,0,0
2022.42,1,0,31,87,18,0,0,0,0,0,0,0,0,0
2022.42,1,0,32,76,17,0,0,0,0,0,0,0,0,0
2022.42,1,0,33,89,26,0,0,0,0,0,0,0,0,0
2022.42,1,0,34,91,28,0,0,0,0,0,0,0,0,0
2022.42,1,0,35,102,27,0,0,0,0,0,0,0,0,0
2022.42,1,0,36,94,16,0,0,0,0,0,0,0,0,0
2022.42,1,0,37,83,19,0,0,1,1,0,0,0,0,0
2022.42,1,0,38,88,20,0,0,0,0,0,0,0,0,0
2022.42,1,0,39,97,25,0,0,0,0,0,0,0,0,0
2022.42,1,0,40,80,16,0,0,1,1,0,0,0,0,0
2022.42,1,0,41,86,17,0,0,0,0,0,0,0,0,0
2022.42,1,0,42,82,11,0,0,1,1,0,0,0,0,0
2022.42,1,0,43,90,15,0,0,0,0,0,0,0,0,0
2022.42,1,0,44,91,19,0,0,1,1,0,0,0,0,0
2022.42,1,0,45,93,23,0,0,0,0,0,0,0,0,0
2022.42,1,0,46,113,27,0,0,0,0,0,0,0,0,0
2022.42,1,0,47,84,20,0,0,0,0,0,0,0,0,0
2022.42,1,0,48,104,17,0,0,1,1,0,0,0,0,0
2022.42,1,0,49,92,22,0,0,1,1,0,0,0,0,0
2022.42,1,0,50,88,14,0,0,0,0,0,0,0,0,0
2022.42,1,0,51,92,23,0,0,1,1,0,0,0,0,0
2022.42,1,0,52,93,18,0,0,0,0,0,0,0,0,0
2022.42,1,0,53,84,22,0,0,1,1,0,0,0,0,0
2022.42,1,0,54,70,14,0,0,1,1,0,0,0,0,0
2022.42,1,0,55,12,4,0,0,55,0,0,0,0,0,0
2022.42,1,0,56,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,57,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,58,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,59,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,60,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,61,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,62,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,63,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,64,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,65,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,66,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,67,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,68,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,69,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,70,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,71,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,72,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,73,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,74,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,75,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,76,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,77,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,78,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,79,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,80,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,81,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,82,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,83,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,84,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,85,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,86,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,87,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,88,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,89,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,90,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,91,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,92,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,93,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,94,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,95,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,96,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,97,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,98,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,99,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,0,104,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,1,93,4,0,0,2,2,0,0,0,0,0
2022.42,1,1,2,87,17,0,0,1,1,0,0,0,0,0
2022.42,1,1,3,80,6,0,0,1,1,0,0,0,0,0
2022.42,1,1,4,83,7,0,0,0,0,0,0,0,0,0
2022.42,1,1,5,87,12,0,0,1,1,0,0,0,0,0
2022.42,1,1,6,85,6,0,0,1,1,0,0,0,0,0
2022.42,1,1,7,72,6,0,0,0,0,0,0,0,0,0
2022.42,1,1,8,85,9,0,0,0,0,0,0,0,0,0
2022.42,1,1,9,64,9,0,0,2,2,0,0,0,0,0
2022.42,1,1,10,100,11,0,0,1,1,0,0,0,0,0
2022.42,1,1,11,85,9,0,0,4,4,0,0,0,0,0
2022.42,1,1,12,73,10,0,0,0,0,0,0,0,0,0
2022.42,1,1,13,82,10,0,0,1,1,0,0,0,0,0
2022.42,1,1,14,94,6,0,0,0,0,0,0,0,0,0
2022.42,1,1,15,93,7,0,0,2,2,0,0,0,0,0
2022.42,1,1,16,102,21,0,0,2,2,0,0,0,0,0
2022.42,1,1,17,94,21,0,0,0,0,0,0,0,0,0
2022.42,1,1,18,91,13,0,0,0,0,0,0,0,0,0
2022.42,1,1,19,99,27,0,0,0,0,0,0,0,0,0
2022.42,1,1,20,86,25,0,0,0,0,0,0,0,0,0
2022.42,1,1,21,79,17,0,0,0,0,0,0,0,0,0
2022.42,1,1,22,78,27,0,0,0,0,0,0,0,0,0
2022.42,1,1,23,93,21,0,0,0,0,0,0,0,0,0
2022.42,1,1,24,85,12,0,0,0,0,0,0,0,0,0
2022.42,1,1,25,75,17,0,0,0,0,0,0,0,0,0
2022.42,1,1,26,92,14,0,0,0,0,0,0,0,0,0
2022.42,1,1,27,100,26,0,0,0,0,0,0,0,0,0
2022.42,1,1,28,85,15,0,0,0,0,0,0,0,0,0
2022.42,1,1,29,88,16,0,0,0,0,0,0,0,0,0
2022.42,1,1,30,81,23,0,0,0,0,0,0,0,0,0
2022.42,1,1,31,88,19,0,0,0,0,0,0,0,0,0
2022.42,1,1,32,85,21,0,0,0,0,0,0,0,0,0
2022.42,1,1,33,77,13,0,0,0,0,0,0,0,0,0
2022.42,1,1,34,114,27,0,0,0,0,0,0,0,0,0
2022.42,1,1,35,76,16,0,0,0,0,0,0,0,0,0
2022.42,1,1,36,91,22,0,0,1,1,0,0,0,0,0
2022.42,1,1,37,90,19,0,0,0,0,0,0,0,0,0
2022.42,1,1,38,103,20,0,0,0,0,0,0,0,0,0
2022.42,1,1,39,92,18,0,0,0,0,0,0,0,0,0
2022.42,1,1,40,84,14,0,0,0,0,0,0,0,0,0
2022.42,1,1,41,88,21,0,0,0,0,0,0,0,0,0
2022.42,1,1,42,98,22,0,0,0,0,0,0,0,0,0
2022.42,1,1,43,86,18,0,0,0,0,0,0,0,0,0
2022.42,1,1,44,89,22,0,0,1,1,0,0,0,0,0
2022.42,1,1,45,74,16,0,0,0,0,0,0,0,0,0
2022.42,1,1,46,91,26,0,0,0,0,0,0,0,0,0
2022.42,1,1,47,97,14,0,0,0,0,0,0,0,0,0
2022.42,1,1,48,68,13,0,0,0,0,0,0,0,0,0
2022.42,1,1,49,93,22,0,0,0,0,0,0,0,0,0
2022.42,1,1,50,88,21,0,0,2,2,0,0,0,0,0
2022.42,1,1,51,83,15,0,0,0,0,0,0,0,0,0
2022.42,1,1,52,83,15,0,0,0,0,0,0,0,0,0
2022.42,1,1,53,89,9,0,0,1,1,0,0,0,0,0
2022.42,1,1,54,97,23,0,0,1,1,0,0,0,0,0
