Year, NodeId, Gender, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Persistant_ART),Stopped_Using_ART
1960.42,1,0,0,0,0,1822,0,0,0,6,0,0,0,0,0,0,0,0
1960.42,1,0,0,0,15,1125,0,0,0,3,0,0,0,0,0,0,0,0
1960.42,1,0,0,0,30,745,0,0,0,5,0,0,0,0,0,0,0,0
1960.42,1,0,0,0,45,426,0,0,0,8,0,0,0,0,0,0,0,0
1960.42,1,0,0,0,60,272,0,0,0,5,0,0,0,0,0,0,0,0
1960.42,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,1,0,0,0,1827,0,0,0,8,0,0,0,0,0,0,0,0
1960.42,1,1,0,0,15,1061,0,0,0,5,0,0,0,0,0,0,0,0
1960.42,1,1,0,0,30,780,0,0,0,4,0,0,0,0,0,0,0,0
1960.42,1,1,0,0,45,497,0,0,0,2,0,0,0,0,0,0,0,0
1960.42,1,1,0,0,60,252,0,0,0,8,0,0,0,0,0,0,0,0
1960.42,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
