Year, NodeId, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1980.48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,11,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,10,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,9,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,8,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,7,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,6,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,5,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,4,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
