Time,NodeID,IndividualID,Gender,AgeYears,IsInfected,PyrogenicThreshold,FeverKillingRate,MSP_0,MSP_1,MSP_2,MSP_3,MSP_4,PfEMP1_0,PfEMP1_1,PfEMP1_2,PfEMP1_3,PfEMP1_4,PfEMP1_5,PfEMP1_6,PfEMP1_7,PfEMP1_8,PfEMP1_9
1,1,2,F,0.00547945,1,15000,0.2,0,,,,,,,,,,,,,,
1,1,3,F,0.00547945,1,15000,0.2,,,,,0,,,,,,,,,,
1,1,4,M,0.00547945,1,15000,0.2,,,,0,,,,,,,,,,,
1,1,5,F,0.00547945,1,15000,0.2,,,,0,,,,,,,,,,,
1,1,6,M,0.00547945,1,15000,0.2,,,0,,,,,,,,,,,,
1,1,7,M,0.00547945,1,15000,0.2,,0,,,,,,,,,,,,,
1,1,8,M,0.00547945,1,15000,0.2,0,,,,,,,,,,,,,,
1,1,9,F,0.00547945,1,15000,0.2,,,,0,,,,,,,,,,,
1,1,10,F,0.00547945,1,15000,0.2,,,,0,,,,,,,,,,,
1,1,11,M,0.00547945,1,15000,0.2,,,0,,,,,,,,,,,,
1,1,12,M,0.00547945,1,15000,0.2,,,0,,,,,,,,,,,,
1,1,13,F,0.00547945,1,15000,0.2,,,0,,,,,,,,,,,,
1,1,14,F,0.00547945,1,15000,0.2,,,,0,,,,,,,,,,,
1,1,15,F,0.00547945,1,15000,0.2,,,,0,,,,,,,,,,,
1,1,16,F,0.00547945,1,15000,0.2,0,,,,,,,,,,,,,,
1,1,17,F,0.00547945,1,15000,0.2,,,,,0,,,,,,,,,,
1,1,18,M,0.00547945,1,15000,0.2,,,0,,,,,,,,,,,,
1,1,19,M,0.00547945,1,15000,0.2,,0,,,,,,,,,,,,,
1,1,20,M,0.00547945,1,15000,0.2,,0,,,,,,,,,,,,,
1,1,21,F,0.00547945,1,15000,0.2,,,,,0,,,,,,,,,,
2,1,2,F,0.00821918,1,15000,0.2,0,,,,,,,,,,,,,,
2,1,3,F,0.00821918,1,15000,0.2,,,,,0,,,,,,,,,,
2,1,4,M,0.00821918,1,15000,0.2,,,,0,,,,,,,,,,,
2,1,5,F,0.00821918,1,15000,0.2,,,,0,,,,,,,,,,,
2,1,6,M,0.00821918,1,15000,0.2,,,0,,,,,,,,,,,,
2,1,7,M,0.00821918,1,15000,0.2,,0,,,,,,,,,,,,,
2,1,8,M,0.00821918,1,15000,0.2,0,,,,,,,,,,,,,,
2,1,9,F,0.00821918,1,15000,0.2,,,,0,,,,,,,,,,,
2,1,10,F,0.00821918,1,15000,0.2,,,,0,,,,,,,,,,,
2,1,11,M,0.00821918,1,15000,0.2,,,0,,,,,,,,,,,,
2,1,12,M,0.00821918,1,15000,0.2,,,0,,,,,,,,,,,,
2,1,13,F,0.00821918,1,15000,0.2,,,0,,,,,,,,,,,,
2,1,14,F,0.00821918,1,15000,0.2,,,,0,,,,,,,,,,,
2,1,15,F,0.00821918,1,15000,0.2,,,,0,,,,,,,,,,,
2,1,16,F,0.00821918,1,15000,0.2,0,,,,,,,,,,,,,,
2,1,17,F,0.00821918,1,15000,0.2,,,,,0,,,,,,,,,,
2,1,18,M,0.00821918,1,15000,0.2,,,0,,,,,,,,,,,,
2,1,19,M,0.00821918,1,15000,0.2,,0,,,,,,,,,,,,,
2,1,20,M,0.00821918,1,15000,0.2,,0,,,,,,,,,,,,,
2,1,21,F,0.00821918,1,15000,0.2,,,,,0,,,,,,,,,,
3,1,2,F,0.0109589,1,15000,0.2,0,,,,,,,,,,,,,,
3,1,3,F,0.0109589,1,15000,0.2,,,,,0,,,,,,,,,,
3,1,4,M,0.0109589,1,15000,0.2,,,,0,,,,,,,,,,,
3,1,5,F,0.0109589,1,15000,0.2,,,,0,,,,,,,,,,,
3,1,6,M,0.0109589,1,15000,0.2,,,0,,,,,,,,,,,,
3,1,7,M,0.0109589,1,15000,0.2,,0,,,,,,,,,,,,,
3,1,8,M,0.0109589,1,15000,0.2,0,,,,,,,,,,,,,,
3,1,9,F,0.0109589,1,15000,0.2,,,,0,,,,,,,,,,,
3,1,10,F,0.0109589,1,15000,0.2,,,,0,,,,,,,,,,,
3,1,11,M,0.0109589,1,15000,0.2,,,0,,,,,,,,,,,,
3,1,12,M,0.0109589,1,15000,0.2,,,0,,,,,,,,,,,,
3,1,13,F,0.0109589,1,15000,0.2,,,0,,,,,,,,,,,,
