Time,ID,FromNodeID,ToNodeID,State,Species,Age,Population
365,4484220,25,20,STATE_MALE,arabiensis,0,6
365,4484246,25,19,STATE_MALE,arabiensis,0,8
365,4484272,25,24,STATE_MALE,arabiensis,0,7
365,4484298,25,24,STATE_MALE,arabiensis,1,7
365,4484324,25,19,STATE_MALE,arabiensis,1,7
365,4484350,25,20,STATE_MALE,arabiensis,1,6
365,4484376,25,19,STATE_MALE,arabiensis,2,9
365,4484402,25,24,STATE_MALE,arabiensis,2,11
365,4484428,25,20,STATE_MALE,arabiensis,2,3
365,4484454,25,20,STATE_MALE,arabiensis,3,10
365,4484480,25,19,STATE_MALE,arabiensis,3,4
365,4484506,25,24,STATE_MALE,arabiensis,3,12
365,4484532,25,19,STATE_MALE,arabiensis,4,8
365,4484558,25,20,STATE_MALE,arabiensis,4,2
365,4484584,25,24,STATE_MALE,arabiensis,4,6
365,4484610,25,19,STATE_MALE,arabiensis,5,4
365,4484636,25,24,STATE_MALE,arabiensis,5,3
365,4484662,25,20,STATE_MALE,arabiensis,5,4
365,4484688,25,20,STATE_MALE,arabiensis,6,6
365,4484714,25,19,STATE_MALE,arabiensis,6,7
365,4484740,25,24,STATE_MALE,arabiensis,6,3
365,4484766,25,19,STATE_MALE,arabiensis,7,2
365,4484792,25,24,STATE_MALE,arabiensis,7,3
365,4484844,25,19,STATE_MALE,arabiensis,8,3
365,4484870,25,20,STATE_MALE,arabiensis,8,5
365,4484896,25,24,STATE_MALE,arabiensis,8,3
365,4484922,25,24,STATE_MALE,arabiensis,9,8
365,4484948,25,19,STATE_MALE,arabiensis,9,1
365,4484974,25,20,STATE_MALE,arabiensis,9,3
365,4485000,25,19,STATE_MALE,arabiensis,10,2
365,4485026,25,20,STATE_MALE,arabiensis,10,2
365,4485078,25,20,STATE_MALE,arabiensis,11,1
365,4485104,25,24,STATE_MALE,arabiensis,11,1
365,4485130,25,19,STATE_MALE,arabiensis,11,3
365,4485156,25,20,STATE_MALE,arabiensis,12,3
365,4485182,25,24,STATE_MALE,arabiensis,12,2
365,4485208,25,19,STATE_MALE,arabiensis,12,4
365,4485234,25,19,STATE_MALE,arabiensis,13,1
365,4485286,25,20,STATE_MALE,arabiensis,13,2
365,4485312,25,20,STATE_MALE,arabiensis,14,1
365,4485416,25,19,STATE_MALE,arabiensis,15,3
365,4485442,25,24,STATE_MALE,arabiensis,15,1
365,4485494,25,20,STATE_MALE,arabiensis,16,1
365,4485520,25,19,STATE_MALE,arabiensis,16,1
365,4485572,25,19,STATE_MALE,arabiensis,17,2
365,4485598,25,24,STATE_MALE,arabiensis,17,1
365,4485624,25,19,STATE_MALE,arabiensis,18,1
365,4485650,25,24,STATE_MALE,arabiensis,18,1
365,4485702,25,19,STATE_MALE,arabiensis,19,1
365,4485936,25,19,STATE_MALE,arabiensis,22,1
365,4486014,25,19,STATE_MALE,arabiensis,23,1
365,4486040,25,20,STATE_MALE,arabiensis,23,2
365,4486066,25,24,STATE_MALE,arabiensis,23,1
365,4486248,25,20,STATE_MALE,arabiensis,26,1
365,5727201,25,24,STATE_INFECTED,arabiensis,9,1
365,5839417,25,19,STATE_ADULT,arabiensis,3,1
365,5839521,25,24,STATE_ADULT,arabiensis,3,1
365,5764459,25,19,STATE_ADULT,arabiensis,7,1
365,4467996,25,24,STATE_ADULT,arabiensis,1,1
365,4467970,25,19,STATE_ADULT,arabiensis,1,1
365,5837701,25,20,STATE_ADULT,arabiensis,3,1
365,5837467,25,24,STATE_ADULT,arabiensis,3,1
365,5818383,25,19,STATE_ADULT,arabiensis,4,1
365,4368520,25,19,STATE_INFECTED,arabiensis,8,1
365,4351802,25,20,STATE_INFECTED,arabiensis,9,1
365,4426396,25,24,STATE_ADULT,arabiensis,4,1
365,4454502,25,24,STATE_ADULT,arabiensis,2,1
365,4411940,25,19,STATE_ADULT,arabiensis,5,1
365,4196010,25,19,STATE_INFECTED,arabiensis,20,1
365,5800417,25,24,STATE_ADULT,arabiensis,5,1
365,5763653,25,20,STATE_INFECTED,arabiensis,7,1
365,4481750,25,20,STATE_ADULT,arabiensis,0,1
365,4454138,25,24,STATE_ADULT,arabiensis,2,1
365,4426006,25,20,STATE_ADULT,arabiensis,4,1
365,5882056,25,20,STATE_INFECTED,arabiensis,4,1
365,4411654,25,20,STATE_ADULT,arabiensis,5,1
365,4425928,25,19,STATE_ADULT,arabiensis,4,1
365,7679952,25,19,STATE_INFECTIOUS,arabiensis,18,1
365,7867930,25,19,STATE_ADULT,arabiensis,12,1
365,5703021,25,19,STATE_ADULT,arabiensis,10,1
365,4382690,25,24,STATE_INFECTED,arabiensis,7,1
365,5797999,25,24,STATE_INFECTED,arabiensis,5,1
365,5844821,25,20,STATE_ADULT,arabiensis,3,1
365,5636537,25,19,STATE_INFECTED,arabiensis,12,1
365,7938855,25,24,STATE_ADULT,arabiensis,8,1
365,4425772,25,24,STATE_ADULT,arabiensis,4,1
365,5685341,25,20,STATE_ADULT,arabiensis,11,1
365,4411290,25,20,STATE_ADULT,arabiensis,5,1
365,4311918,25,24,STATE_INFECTED,arabiensis,12,1
365,5777953,25,24,STATE_ADULT,arabiensis,6,1
365,7862784,25,19,STATE_INFECTED,arabiensis,11,1
365,4481230,25,19,STATE_ADULT,arabiensis,0,1
365,5698233,25,24,STATE_INFECTED,arabiensis,11,1
365,5799351,25,20,STATE_INFECTED,arabiensis,5,1
365,4453930,25,24,STATE_ADULT,arabiensis,2,1
365,5632664,25,20,STATE_INFECTED,arabiensis,17,1
365,4481100,25,24,STATE_ADULT,arabiensis,0,1
365,4339608,25,20,STATE_INFECTED,arabiensis,10,1
365,5761469,25,19,STATE_ADULT,arabiensis,7,1
365,7985347,25,24,STATE_ADULT,arabiensis,5,1
365,5694749,25,20,STATE_ADULT,arabiensis,11,1
365,4425434,25,24,STATE_INFECTED,arabiensis,4,1
365,7812656,25,24,STATE_INFECTED,arabiensis,13,1
365,4453644,25,24,STATE_ADULT,arabiensis,2,1
365,7782833,25,20,STATE_INFECTED,arabiensis,13,1
365,4410874,25,20,STATE_ADULT,arabiensis,5,1
365,4353752,25,24,STATE_ADULT,arabiensis,9,1
365,4396340,25,20,STATE_INFECTED,arabiensis,6,1
365,5629883,25,19,STATE_INFECTIOUS,arabiensis,14,1
365,7887401,25,24,STATE_ADULT,arabiensis,10,1
365,7905059,25,24,STATE_INFECTED,arabiensis,8,1
365,5687628,25,20,STATE_INFECTIOUS,arabiensis,14,1
365,4480684,25,19,STATE_ADULT,arabiensis,0,1
365,4439136,25,19,STATE_ADULT,arabiensis,3,1
365,4410744,25,19,STATE_ADULT,arabiensis,5,1
365,5734763,25,19,STATE_ADULT,arabiensis,9,1
365,4410588,25,24,STATE_ADULT,arabiensis,5,1
365,4480554,25,19,STATE_ADULT,arabiensis,0,1
365,5863619,25,24,STATE_ADULT,arabiensis,2,1
365,4424940,25,20,STATE_ADULT,arabiensis,4,1
365,4424888,25,20,STATE_ADULT,arabiensis,4,1
365,5751663,25,24,STATE_INFECTED,arabiensis,8,1
365,4480424,25,19,STATE_ADULT,arabiensis,0,1
365,4367194,25,19,STATE_ADULT,arabiensis,8,1
365,5844171,25,19,STATE_ADULT,arabiensis,3,1
365,8017042,25,24,STATE_ADULT,arabiensis,5,1
365,5771709,25,24,STATE_ADULT,arabiensis,7,1
365,5753093,25,24,STATE_ADULT,arabiensis,8,1
365,5862735,25,24,STATE_ADULT,arabiensis,2,1
365,7552682,25,24,STATE_INFECTED,arabiensis,23,1
365,4395612,25,20,STATE_INFECTED,arabiensis,6,1
365,5594878,25,20,STATE_INFECTED,arabiensis,16,1
365,5732553,25,19,STATE_ADULT,arabiensis,9,1
365,4480138,25,19,STATE_ADULT,arabiensis,0,1
365,4466098,25,19,STATE_ADULT,arabiensis,1,1
365,5787673,25,19,STATE_ADULT,arabiensis,6,1
365,5787647,25,24,STATE_ADULT,arabiensis,6,1
365,4480034,25,20,STATE_ADULT,arabiensis,0,1
365,4480008,25,19,STATE_ADULT,arabiensis,0,1
365,5861461,25,20,STATE_ADULT,arabiensis,2,1
365,5769421,25,19,STATE_ADULT,arabiensis,7,1
365,4479930,25,20,STATE_ADULT,arabiensis,0,1
365,4438486,25,19,STATE_ADULT,arabiensis,3,1
365,5804313,25,19,STATE_ADULT,arabiensis,5,1
365,5733229,25,19,STATE_ADULT,arabiensis,9,1
365,4479826,25,20,STATE_ADULT,arabiensis,0,1
365,4452786,25,20,STATE_ADULT,arabiensis,2,1
365,5760715,25,19,STATE_INFECTED,arabiensis,7,1
365,4438278,25,20,STATE_INFECTED,arabiensis,3,1
365,5698415,25,19,STATE_ADULT,arabiensis,11,1
365,4479696,25,24,STATE_ADULT,arabiensis,0,1
365,4395326,25,24,STATE_ADULT,arabiensis,6,1
365,4465890,25,24,STATE_ADULT,arabiensis,1,1
365,5503046,25,24,STATE_INFECTIOUS,arabiensis,21,1
365,5860031,25,24,STATE_ADULT,arabiensis,2,1
365,7604646,25,20,STATE_INFECTED,arabiensis,18,1
365,4409704,25,20,STATE_ADULT,arabiensis,5,1
365,4437914,25,19,STATE_ADULT,arabiensis,3,1
365,4479488,25,19,STATE_ADULT,arabiensis,0,1
365,5728310,25,24,STATE_INFECTED,arabiensis,9,1
365,7840632,25,24,STATE_ADULT,arabiensis,12,1
365,4452266,25,19,STATE_ADULT,arabiensis,2,1
365,5694895,25,24,STATE_INFECTED,arabiensis,9,1
365,4295382,25,24,STATE_INFECTED,arabiensis,13,1
365,4181346,25,24,STATE_ADULT,arabiensis,21,1
365,4352348,25,20,STATE_INFECTED,arabiensis,9,1
365,5712715,25,20,STATE_INFECTED,arabiensis,10,1
365,7404476,25,19,STATE_INFECTIOUS,arabiensis,29,1
365,7802089,25,24,STATE_ADULT,arabiensis,12,1
365,4394780,25,20,STATE_ADULT,arabiensis,6,1
365,4394754,25,20,STATE_ADULT,arabiensis,6,1
365,5650882,25,24,STATE_INFECTIOUS,arabiensis,13,1
365,7969098,25,24,STATE_ADULT,arabiensis,7,1
365,4409314,25,24,STATE_INFECTED,arabiensis,5,1
365,7778845,25,19,STATE_ADULT,arabiensis,13,1
365,4479046,25,19,STATE_ADULT,arabiensis,0,1
365,4411836,25,19,STATE_ADULT,arabiensis,5,1
365,7969592,25,24,STATE_ADULT,arabiensis,7,1
365,4478968,25,24,STATE_ADULT,arabiensis,0,1
365,8124084,25,19,STATE_ADULT,arabiensis,1,1
365,7652288,25,19,STATE_INFECTED,arabiensis,19,1
365,4409028,25,24,STATE_ADULT,arabiensis,5,1
365,4437238,25,19,STATE_ADULT,arabiensis,3,1
365,8096290,25,19,STATE_ADULT,arabiensis,2,1
365,4451850,25,24,STATE_ADULT,arabiensis,2,1
365,4478786,25,20,STATE_ADULT,arabiensis,0,1
365,4351646,25,24,STATE_ADULT,arabiensis,9,1
365,4322682,25,20,STATE_INFECTED,arabiensis,11,1
365,4478708,25,20,STATE_ADULT,arabiensis,0,1
365,4408924,25,19,STATE_ADULT,arabiensis,5,1
365,8093898,25,24,STATE_ADULT,arabiensis,2,1
365,4451668,25,19,STATE_ADULT,arabiensis,2,1
365,4451616,25,24,STATE_ADULT,arabiensis,2,1
365,7582369,25,19,STATE_ADULT,arabiensis,22,1
365,7756417,25,19,STATE_ADULT,arabiensis,14,1
365,7936151,25,20,STATE_ADULT,arabiensis,8,1
365,4365218,25,20,STATE_INFECTED,arabiensis,8,1
365,4380376,25,20,STATE_ADULT,arabiensis,7,1
365,4478448,25,20,STATE_ADULT,arabiensis,0,1
365,5786607,25,20,STATE_ADULT,arabiensis,6,1
365,7837746,25,24,STATE_ADULT,arabiensis,12,1
365,4393844,25,20,STATE_ADULT,arabiensis,6,1
365,7969124,25,20,STATE_ADULT,arabiensis,7,1
365,4408456,25,20,STATE_ADULT,arabiensis,5,1
365,4251182,25,20,STATE_INFECTED,arabiensis,16,1
365,5630706,25,19,STATE_INFECTIOUS,arabiensis,14,1
365,5683911,25,19,STATE_INFECTED,arabiensis,11,1
365,4309110,25,19,STATE_INFECTED,arabiensis,12,1
365,5842770,25,24,STATE_ADULT,arabiensis,6,1
365,5762058,25,20,STATE_INFECTED,arabiensis,7,1
365,4478136,25,19,STATE_ADULT,arabiensis,0,1
365,7777415,25,24,STATE_ADULT,arabiensis,13,1
365,7882668,25,24,STATE_ADULT,arabiensis,10,1
365,4463836,25,20,STATE_INFECTED,arabiensis,1,1
365,4463810,25,24,STATE_ADULT,arabiensis,1,1
365,4436250,25,24,STATE_ADULT,arabiensis,3,1
365,4449692,25,20,STATE_ADULT,arabiensis,2,1
365,4477954,25,20,STATE_ADULT,arabiensis,0,1
365,4450394,25,24,STATE_ADULT,arabiensis,2,1
365,4393038,25,20,STATE_ADULT,arabiensis,6,1
365,4450732,25,24,STATE_ADULT,arabiensis,2,1
365,4379596,25,20,STATE_INFECTED,arabiensis,7,1
365,4392466,25,20,STATE_ADULT,arabiensis,6,1
365,4477798,25,19,STATE_ADULT,arabiensis,0,1
365,4477772,25,24,STATE_ADULT,arabiensis,0,1
365,4350086,25,24,STATE_ADULT,arabiensis,9,1
365,4449484,25,24,STATE_ADULT,arabiensis,2,1
365,4450550,25,19,STATE_ADULT,arabiensis,2,1
365,4435678,25,24,STATE_ADULT,arabiensis,3,1
365,4407078,25,19,STATE_ADULT,arabiensis,5,1
365,4477616,25,24,STATE_ADULT,arabiensis,0,1
365,4477590,25,20,STATE_ADULT,arabiensis,0,1
365,4350294,25,20,STATE_ADULT,arabiensis,9,1
365,4364308,25,20,STATE_INFECTED,arabiensis,8,1
365,4449952,25,20,STATE_ADULT,arabiensis,2,1
365,5688842,25,24,STATE_INFECTED,arabiensis,11,1
365,4477460,25,24,STATE_ADULT,arabiensis,0,1
365,4349696,25,24,STATE_INFECTED,arabiensis,9,1
365,4477408,25,20,STATE_ADULT,arabiensis,0,1
365,4450498,25,19,STATE_ADULT,arabiensis,2,1
365,4477356,25,19,STATE_ADULT,arabiensis,0,1
365,5900075,24,20,STATE_MALE,arabiensis,0,8
365,5900101,24,23,STATE_MALE,arabiensis,0,13
365,5900127,24,25,STATE_MALE,arabiensis,0,6
365,5900153,24,18,STATE_MALE,arabiensis,0,3
365,5900179,24,19,STATE_MALE,arabiensis,0,5
365,5900205,24,19,STATE_MALE,arabiensis,1,9
365,5900231,24,25,STATE_MALE,arabiensis,1,6
365,5900257,24,20,STATE_MALE,arabiensis,1,6
365,5900283,24,23,STATE_MALE,arabiensis,1,5
365,5900309,24,18,STATE_MALE,arabiensis,1,4
365,5900335,24,18,STATE_MALE,arabiensis,2,10
365,5900361,24,20,STATE_MALE,arabiensis,2,8
365,5900387,24,25,STATE_MALE,arabiensis,2,8
365,5900413,24,19,STATE_MALE,arabiensis,2,3
365,5900439,24,23,STATE_MALE,arabiensis,2,6
365,5900465,24,19,STATE_MALE,arabiensis,3,7
365,5900491,24,25,STATE_MALE,arabiensis,3,6
365,5900517,24,23,STATE_MALE,arabiensis,3,10
365,5900543,24,20,STATE_MALE,arabiensis,3,3
365,5900569,24,18,STATE_MALE,arabiensis,3,4
365,5900595,24,23,STATE_MALE,arabiensis,4,7
365,5900621,24,25,STATE_MALE,arabiensis,4,2
365,5900647,24,19,STATE_MALE,arabiensis,4,2
365,5900673,24,20,STATE_MALE,arabiensis,4,4
365,5900699,24,18,STATE_MALE,arabiensis,4,5
365,5900725,24,23,STATE_MALE,arabiensis,5,2
365,5900751,24,18,STATE_MALE,arabiensis,5,7
365,5900777,24,19,STATE_MALE,arabiensis,5,5
365,5900803,24,25,STATE_MALE,arabiensis,5,3
365,5900829,24,20,STATE_MALE,arabiensis,5,1
365,5900855,24,25,STATE_MALE,arabiensis,6,9
365,5900881,24,23,STATE_MALE,arabiensis,6,2
365,5900907,24,18,STATE_MALE,arabiensis,6,4
365,5900933,24,20,STATE_MALE,arabiensis,6,4
365,5900959,24,19,STATE_MALE,arabiensis,6,4
365,5900985,24,23,STATE_MALE,arabiensis,7,2
365,5901011,24,18,STATE_MALE,arabiensis,7,3
365,5901037,24,25,STATE_MALE,arabiensis,7,3
365,5901063,24,20,STATE_MALE,arabiensis,7,2
365,5901089,24,19,STATE_MALE,arabiensis,7,4
365,5901115,24,19,STATE_MALE,arabiensis,8,4
365,5901141,24,25,STATE_MALE,arabiensis,8,1
365,5901167,24,23,STATE_MALE,arabiensis,8,4
365,5901193,24,20,STATE_MALE,arabiensis,8,1
365,5901219,24,18,STATE_MALE,arabiensis,8,3
365,5901245,24,20,STATE_MALE,arabiensis,9,1
365,5901271,24,19,STATE_MALE,arabiensis,9,2
365,5901297,24,25,STATE_MALE,arabiensis,9,3
365,5901349,24,18,STATE_MALE,arabiensis,9,1
365,5901375,24,19,STATE_MALE,arabiensis,10,1
365,5901401,24,18,STATE_MALE,arabiensis,10,1
365,5901427,24,23,STATE_MALE,arabiensis,10,5
365,5901453,24,25,STATE_MALE,arabiensis,10,3
365,5901479,24,20,STATE_MALE,arabiensis,10,2
365,5901505,24,19,STATE_MALE,arabiensis,11,1
365,5901531,24,25,STATE_MALE,arabiensis,11,4
365,5901557,24,18,STATE_MALE,arabiensis,11,1
365,5901583,24,20,STATE_MALE,arabiensis,11,1
365,5901609,24,23,STATE_MALE,arabiensis,11,1
365,5901635,24,23,STATE_MALE,arabiensis,12,3
365,5901661,24,25,STATE_MALE,arabiensis,12,3
365,5901687,24,19,STATE_MALE,arabiensis,12,1
365,5901739,24,18,STATE_MALE,arabiensis,12,1
365,5901765,24,18,STATE_MALE,arabiensis,13,1
