Time,ID,FromNodeID,ToNodeID,State,Genome,Species,Age,Population
366,5541223,24,23,STATE_INFECTIOUS,X:X,funestus,20,1
366,5923448,23,24,STATE_INFECTED,X:X,funestus,3,1
366,5961044,23,24,STATE_INFECTED,X:X,funestus,1,1
366,7758570,23,24,STATE_INFECTED,X:X,funestus,16,1
366,5747221,23,24,STATE_INFECTED,X:X,funestus,9,1
366,7894010,23,24,STATE_INFECTED,X:X,funestus,11,1
366,5904520,23,24,STATE_INFECTED,X:X,funestus,4,1
366,8023488,23,24,STATE_INFECTED,X:X,funestus,7,1
367,5924124,23,24,STATE_INFECTED,X:X,funestus,4,1
367,5635213,23,24,STATE_INFECTIOUS,X:X,funestus,16,1
367,7816736,23,24,STATE_INFECTIOUS,X:X,funestus,16,1
367,5791911,23,24,STATE_INFECTED,X:X,funestus,8,1
367,7971358,23,24,STATE_INFECTED,X:X,funestus,10,1
367,7997750,23,24,STATE_INFECTED,X:X,funestus,8,1
367,7815074,23,24,STATE_INFECTIOUS,X:X,funestus,15,1
368,5961044,24,23,STATE_INFECTED,X:X,funestus,3,1
368,5772023,24,23,STATE_INFECTED,X:X,funestus,8,1
368,5847710,24,23,STATE_INFECTED,X:X,funestus,9,1
368,7894010,24,23,STATE_INFECTIOUS,X:X,funestus,13,1
368,4398212,24,23,STATE_INFECTED,X:X,funestus,9,1
368,5765707,23,24,STATE_INFECTED,X:X,funestus,10,1
368,6000642,23,24,STATE_INFECTED,X:X,funestus,1,1
368,5905144,23,24,STATE_INFECTED,X:X,funestus,6,1
368,5961174,23,24,STATE_INFECTED,X:X,funestus,3,1
368,5789281,23,24,STATE_INFECTED,X:X,funestus,7,1
369,5961798,23,24,STATE_INFECTED,X:X,funestus,4,1
369,5905040,23,24,STATE_INFECTED,X:X,funestus,7,1
369,6018816,23,24,STATE_INFECTED,X:X,funestus,1,1
369,7988597,23,24,STATE_INFECTED,X:X,funestus,9,1
369,8023696,23,24,STATE_INFECTED,X:X,funestus,10,1
369,5848307,23,24,STATE_INFECTED,X:X,funestus,5,1
369,8100214,23,24,STATE_INFECTED,X:X,funestus,7,1
369,8017583,23,24,STATE_INFECTED,X:X,funestus,9,1
370,5671535,24,23,STATE_INFECTIOUS,X:X,funestus,17,1
370,5886008,24,23,STATE_INFECTED,X:X,funestus,9,1
370,5923864,23,24,STATE_INFECTED,X:X,funestus,7,1
370,7674948,23,24,STATE_INFECTED,X:X,funestus,23,1
370,5922876,23,24,STATE_INFECTED,X:X,funestus,7,1
370,5640405,23,24,STATE_INFECTED,X:X,funestus,17,1
370,6018530,23,24,STATE_INFECTED,X:X,funestus,2,1
371,5884759,24,23,STATE_INFECTED,X:X,funestus,5,1
371,4355962,24,23,STATE_INFECTIOUS,X:X,funestus,15,1
371,6057946,23,24,STATE_INFECTED,X:X,funestus,1,1
371,5961902,23,24,STATE_INFECTED,X:X,funestus,6,1
371,5847710,23,24,STATE_INFECTED,X:X,funestus,12,1
371,8118675,23,24,STATE_INFECTED,X:X,funestus,6,1
371,5746753,23,24,STATE_INFECTIOUS,X:X,funestus,14,1
372,4356378,24,23,STATE_INFECTIOUS,X:X,funestus,16,1
372,4142238,24,23,STATE_INFECTIOUS,X:X,funestus,23,1
372,6057946,24,23,STATE_INFECTED,X:X,funestus,2,1
372,7708416,24,23,STATE_INFECTIOUS,X:X,funestus,24,1
372,8229774,24,23,STATE_INFECTED,X:X,funestus,4,1
372,8045090,24,23,STATE_INFECTED,X:X,funestus,11,1
372,5827843,23,24,STATE_INFECTED,X:X,funestus,11,1
373,4270396,24,23,STATE_INFECTIOUS,X:X,funestus,23,1
373,7660525,24,23,STATE_INFECTIOUS,X:X,funestus,27,1
373,4398212,23,24,STATE_INFECTIOUS,X:X,funestus,14,1
373,5980518,23,24,STATE_INFECTED,X:X,funestus,7,1
373,5999914,23,24,STATE_INFECTED,X:X,funestus,6,1
373,5803199,23,24,STATE_INFECTIOUS,X:X,funestus,13,1
374,7860755,24,23,STATE_INFECTIOUS,X:X,funestus,19,1
374,5830763,24,23,STATE_INFECTED,X:X,funestus,13,1
374,4356378,23,24,STATE_INFECTIOUS,X:X,funestus,18,1
374,4070192,23,24,STATE_INFECTED,X:X,funestus,30,1
374,7748741,23,24,STATE_INFECTIOUS,X:X,funestus,24,1
374,8070025,23,24,STATE_INFECTED,X:X,funestus,12,1
374,7955727,23,24,STATE_INFECTED,X:X,funestus,16,1
374,8092779,23,24,STATE_INFECTED,X:X,funestus,10,1
374,5941127,23,24,STATE_INFECTED,X:X,funestus,5,1
374,5921341,23,24,STATE_INFECTED,X:X,funestus,6,1
375,7860703,24,23,STATE_INFECTIOUS,X:X,funestus,20,1
375,8118675,24,23,STATE_INFECTED,X:X,funestus,10,1
375,4270396,23,24,STATE_INFECTIOUS,X:X,funestus,25,1
375,5830763,23,24,STATE_INFECTED,X:X,funestus,14,1
