Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,86,0,0,86,90,0,0,5200,2600,24,0,1,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,182,0,0,182,179,0,0,13800,6900,55,0,11,0,0,0,18,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,22,0,358,0,0,358,353,0,0,23600,11800,0,0,0,0,0,0,42,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,21,0,364,0,0,364,352,0,0,24200,12100,0,0,0,0,0,0,36,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,20,10,89,0,0,89,95,0,0,5600,2800,19,0,6,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,86,0,0,86,97,0,0,6000,3000,20,0,6,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,90,0,0,90,93,0,0,5400,2700,19,0,8,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,184,0,0,184,175,0,0,11200,5600,44,0,7,0,0,0,16,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,16,0,363,0,0,363,357,0,0,24400,12200,0,0,0,0,0,0,37,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,15,5,83,0,0,83,86,0,0,6200,3100,27,0,2,0,0,0,17,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,89,0,0,89,88,0,0,5000,2500,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,87,0,0,87,86,0,0,5800,2900,25,0,2,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,12,15,79,0,0,79,90,0,0,6600,3300,29,0,3,0,0,0,21,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,165,0,0,165,181,0,0,11600,5800,47,0,9,0,0,0,35,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,10,10,44,0,0,44,44,0,0,2600,1300,12,0,1,0,0,0,6,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,9,10,91,0,0,91,95,0,0,4600,2300,20,0,2,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,8,10,87,0,0,87,86,0,0,5400,2700,20,0,5,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,90,0,0,90,94,0,0,6600,3300,0,0,0,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,6,10,89,0,0,89,89,0,0,7000,3500,28,0,7,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,5,15,47,0,0,47,48,0,0,3000,1500,11,0,3,0,0,0,3,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,4,5,45,0,0,45,45,0,0,2600,1300,10,0,2,0,0,0,5,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,3,1,91,0,0,91,88,0,0,5800,2900,22,0,6,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,2,10,90,0,0,90,89,0,0,7000,3500,29,0,4,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,1,5,90,0,0,90,93,0,0,5000,2500,18,0,5,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
1,26,0,814,0,0,814,796,0,3252,50200,25100,0,0,0,0,0,0,99,0,0,1286.16,62.7575,108.685,0.127381,0.00802419,0.0121315,0,0,0
1,25,1,82,0,0,82,84,0,2270,5400,2700,23,0,4,0,0,0,6,0,0,2238.16,80.7575,120.685,1,0.074625,0.109183,0,0,0
1,24,10,73,0,0,73,80,0,2856,5600,2800,20,0,4,0,0,0,11,0,0,1638.16,73.7575,141.685,1,0.106607,0.218367,0,0,0
1,23,16,172,0,0,172,153,0,3196,10200,5100,42,0,9,0,0,0,13,0,0,1295.16,72.7575,145.685,0.724058,0.0414583,0.0477677,0,0,0
1,22,0,300,0,0,300,293,0,3188,23000,11500,0,0,0,0,0,0,35,0,0,1250.16,81.7575,189.685,0.429909,0.0207292,0.0305713,0,0,0
1,21,0,319,0,0,319,286,0,3213,24600,12300,0,0,0,0,0,0,41,0,0,1348.16,27.7575,120.685,0.362029,0.0213214,0.0318451,0,0,0
1,20,10,87,0,0,87,85,0,2252,6000,3000,28,0,5,0,0,0,9,0,0,2238.16,86.7575,132.685,1,0.074625,0.169841,0,0,0
1,19,10,84,0,0,84,87,0,2252,5200,2600,20,0,5,0,0,0,4,0,0,2238.16,66.7575,152.685,1,0.0678409,0.152857,0,0,0
1,18,11,93,0,0,93,102,0,3021,6200,3100,27,0,4,0,0,0,11,0,0,1438.16,88.7575,161.685,1,0.14925,0.169841,0,0,0
1,17,5,191,0,0,191,189,0,3229,14200,7100,70,0,11,0,0,0,20,0,0,1279.16,71.7575,129.685,0.91714,0.0466406,0.0611427,0,0,0
1,16,0,301,0,0,301,301,0,3232,21400,10700,0,0,0,0,0,0,42,0,0,1301.16,62.7575,113.685,0.39306,0.0201689,0.0305713,0,0,0
1,15,5,69,0,0,69,68,0,2255,3400,1700,12,0,4,0,0,0,9,0,0,2238.16,58.7575,157.685,1,0.0621875,0.152857,0,0,0
1,14,0,75,0,0,75,74,0,1857,6000,3000,0,0,0,0,0,0,7,0,0,2638.16,74.7575,139.685,1,0.074625,0.191071,0,0,0
1,13,8,71,0,0,71,92,0,2693,4800,2400,22,0,5,0,0,0,9,0,0,1838.16,61.7575,116.685,1,0.106607,0.138961,0,0,0
1,12,15,80,0,0,80,94,0,1857,6200,3100,26,0,5,0,0,0,12,0,0,2638.16,79.7575,134.685,1,0.0574038,0.117582,0,0,0
1,11,10,125,0,0,125,163,0,3169,8600,4300,38,0,8,0,0,0,19,0,0,1324.16,91.7575,124.685,0.6551,0.04975,0.0694803,0,0,0
1,10,10,41,0,0,41,44,0,860,2400,1200,14,0,0,0,0,0,6,0,0,3638.16,96.7575,114.685,1,0.24875,0.191071,0,0,0
1,9,11,89,0,0,89,73,0,1239,7000,3500,27,0,7,0,0,0,5,0,0,3238.16,75.7575,156.685,1,0.0678409,0.191071,0,0,0
1,8,10,72,0,0,72,77,0,2649,3800,1900,21,0,2,0,0,0,6,0,0,1838.16,53.7575,168.685,1,0.106607,0.169841,0,0,0
1,7,0,96,0,0,96,88,0,2657,6200,3100,0,0,0,0,0,0,9,0,0,1838.16,82.7575,131.685,1,0.074625,0.127381,0,0,0
1,6,10,77,0,0,77,74,0,2672,5000,2500,22,0,4,0,0,0,18,0,0,1838.16,68.7575,130.685,1,0.0678409,0.117582,0,0,0
1,5,15,45,0,0,45,44,0,1457,3000,1500,11,0,3,0,0,0,5,0,0,3038.16,90.7575,123.685,1,0.124375,0.382142,0,0,0
1,4,5,50,0,0,50,42,0,1440,3200,1600,13,0,2,0,0,0,4,0,0,3038.16,79.7575,151.685,1,0.186562,0.382142,0,0,0
1,3,1,83,0,0,83,78,0,2656,5600,2800,26,0,2,0,0,0,7,0,0,1838.16,72.7575,142.685,1,0.0932812,0.152857,0,0,0
1,2,9,69,0,0,69,85,0,2875,4800,2400,21,0,4,0,0,0,17,0,0,1638.16,63.7575,132.685,1,0.0678409,0.127381,0,0,0
1,1,5,82,0,0,82,79,0,2079,5600,2800,26,0,3,0,0,0,7,0,0,2438.16,61.7575,130.685,1,0.14925,0.127381,0,0,0
2,26,20,728,0,0,728,717,0,4400,47800,23900,570,0,84,0,0,0,86,0,0,1498.02,85.5299,166.446,0.0869029,0.00397199,0.00554514,0,0,0
2,25,1,68,0,0,68,68,0,3662,3400,1700,15,0,2,0,0,0,11,0,0,2240.02,80.5299,167.446,1,0.0504734,0.0502853,0,0,0
2,24,10,78,0,0,78,85,0,4481,6000,3000,26,0,2,0,0,0,7,0,0,1426.02,87.5299,155.446,0.819081,0.0614646,0.0590353,0,0,0
2,23,15,128,0,0,128,126,0,4398,9000,4500,43,0,7,0,0,0,22,0,0,1509.02,90.5299,152.446,0.539651,0.0145515,0.0520303,0,0,0
