Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
0,23,Emigrating,232,28932.6,F,0,0,1,0,0,F
0,19,Emigrating,98,315.56,M,0,0,1,0,0,F
0,19,Emigrating,124,1593.67,F,0,0,1,0,0,F
0,18,Emigrating,123,7216.93,F,0,0,1,0,0,F
0,13,Emigrating,170,3340.56,M,0,0,1,0,0,F
0,13,Emigrating,222,4225.95,F,0,0,1,0,0,F
0,11,Emigrating,12,5373.88,M,0,0,1,0,0,F
0,10,Emigrating,167,1033.71,F,0,0,1,0,0,F
0,4,Emigrating,31,311.424,F,0,0,1,0,0,F
0,3,Emigrating,4,22129.9,M,0,0,1,0,0,F
0,20,Immigrating,4,22129.9,M,0,0,1,0,0,F
0,10,Immigrating,31,311.424,F,0,0,1,0,0,F
0,5,Immigrating,167,1033.71,F,0,0,1,0,0,F
0,17,Immigrating,12,5373.88,M,0,0,1,0,0,F
0,3,Immigrating,222,4225.95,F,0,0,1,0,0,F
0,18,Immigrating,170,3340.56,M,0,0,1,0,0,F
0,4,Immigrating,123,7216.93,F,0,0,1,0,0,F
0,13,Immigrating,124,1593.67,F,0,0,1,0,0,F
0,12,Immigrating,98,315.56,M,0,0,1,0,0,F
0,5,Immigrating,232,28932.6,F,0,0,1,0,0,F
1,20,Emigrating,4,22130.9,M,0,0,1,0,0,F
1,18,Emigrating,170,3341.56,M,0,0,1,0,0,F
1,17,Emigrating,12,5374.88,M,0,0,1,0,0,F
1,12,Emigrating,98,316.56,M,0,0,1,0,0,F
1,10,Emigrating,31,312.424,F,0,0,1,0,0,F
1,6,Emigrating,59,16694.3,F,1,0,1,0,0,F
1,5,Emigrating,344,2789.57,M,0,0,1,0,0,F
1,5,Emigrating,232,28933.6,F,0,0,1,0,0,F
1,4,Emigrating,123,7217.93,F,0,0,1,0,0,F
1,3,Emigrating,222,4226.95,F,0,0,1,0,0,F
1,2,Emigrating,29,5650.6,M,0,0,1,0,0,F
1,2,Emigrating,107,244.21,M,0,0,1,0,0,F
1,6,Immigrating,107,244.21,M,0,0,1,0,0,F
1,20,Immigrating,29,5650.6,M,0,0,1,0,0,F
1,13,Immigrating,222,4226.95,F,0,0,1,0,0,F
1,18,Immigrating,123,7217.93,F,0,0,1,0,0,F
1,23,Immigrating,232,28933.6,F,0,0,1,0,0,F
1,6,Immigrating,344,2789.57,M,0,0,1,0,0,F
1,4,Immigrating,59,16694.3,F,1,0,1,0,0,F
1,4,Immigrating,31,312.424,F,0,0,1,0,0,F
1,19,Immigrating,98,316.56,M,0,0,1,0,0,F
1,11,Immigrating,12,5374.88,M,0,0,1,0,0,F
1,13,Immigrating,170,3341.56,M,0,0,1,0,0,F
1,3,Immigrating,4,22130.9,M,0,0,1,0,0,F
2,23,Emigrating,24,1707.77,F,0,0,1,0,0,F
2,23,Emigrating,50,1498.21,F,0,0,1,0,0,F
2,23,Emigrating,388,3159.7,M,0,0,1,0,0,F
2,20,Emigrating,29,5651.6,M,0,0,1,0,0,F
2,19,Emigrating,176,4817.96,F,0,0,1,0,0,F
2,15,Emigrating,42,21993.2,F,0,0,1,0,0,F
2,13,Emigrating,124,1595.67,F,0,0,1,0,0,F
2,11,Emigrating,142,1552.87,M,0,0,1,0,0,F
2,9,Emigrating,244,3170.27,M,0,0,1,0,0,F
2,6,Emigrating,107,245.21,M,0,0,1,0,0,F
2,6,Emigrating,344,2790.57,M,0,0,1,0,0,F
2,5,Emigrating,167,1035.71,F,0,0,1,0,0,F
2,4,Emigrating,59,16695.3,F,1,0,1,0,0,F
2,6,Immigrating,59,16695.3,F,1,0,1,0,0,F
2,10,Immigrating,167,1035.71,F,0,0,1,0,0,F
2,5,Immigrating,344,2790.57,M,0,0,1,0,0,F
2,2,Immigrating,107,245.21,M,0,0,1,0,0,F
2,12,Immigrating,244,3170.27,M,0,0,1,0,0,F
2,19,Immigrating,142,1552.87,M,0,0,1,0,0,F
2,19,Immigrating,124,1595.67,F,0,0,1,0,0,F
2,13,Immigrating,42,21993.2,F,0,0,1,0,0,F
2,13,Immigrating,176,4817.96,F,0,0,1,0,0,F
2,2,Immigrating,29,5651.6,M,0,0,1,0,0,F
2,12,Immigrating,388,3159.7,M,0,0,1,0,0,F
2,9,Immigrating,50,1498.21,F,0,0,1,0,0,F
2,1,Immigrating,24,1707.77,F,0,0,1,0,0,F
3,19,Emigrating,142,1553.87,M,0,0,1,0,0,F
3,13,Emigrating,42,21994.2,F,0,0,1,0,0,F
3,11,Emigrating,116,13087.5,F,0,0,1,0,0,F
3,9,Emigrating,50,1499.21,F,0,0,1,0,0,F
3,2,Emigrating,3,28096,M,1,0,1,0,0,F
3,1,Emigrating,24,1708.77,F,0,0,1,0,0,F
3,23,Immigrating,24,1708.77,F,0,0,1,0,0,F
3,6,Immigrating,3,28096,M,1,0,1,0,0,F
3,23,Immigrating,50,1499.21,F,0,0,1,0,0,F
3,20,Immigrating,116,13087.5,F,0,0,1,0,0,F
3,15,Immigrating,42,21994.2,F,0,0,1,0,0,F
3,11,Immigrating,142,1553.87,M,0,0,1,0,0,F
4,20,Emigrating,116,13088.5,F,0,0,1,0,0,F
4,13,Emigrating,176,4819.96,F,0,0,1,0,0,F
4,12,Emigrating,244,3172.27,M,0,0,1,0,0,F
4,11,Emigrating,194,3646.36,F,0,0,1,0,0,F
4,10,Emigrating,167,1037.71,F,0,0,1,0,0,F
4,6,Emigrating,3,28097,M,1,0,1,0,0,F
4,4,Emigrating,109,4049.87,F,0,0,1,0,0,F
4,2,Emigrating,159,3392.63,M,0,0,1,0,0,F
4,17,Immigrating,159,3392.63,M,0,0,1,0,0,F
4,2,Immigrating,109,4049.87,F,0,0,1,0,0,F
4,2,Immigrating,3,28097,M,1,0,1,0,0,F
4,18,Immigrating,167,1037.71,F,0,0,1,0,0,F
4,4,Immigrating,194,3646.36,F,0,0,1,0,0,F
4,9,Immigrating,244,3172.27,M,0,0,1,0,0,F
4,19,Immigrating,176,4819.96,F,0,0,1,0,0,F
4,11,Immigrating,116,13088.5,F,0,0,1,0,0,F
5,19,Emigrating,176,4820.96,F,0,0,1,0,0,F
5,18,Emigrating,167,1038.71,F,0,0,1,0,0,F
5,13,Emigrating,144,568.148,F,0,0,1,0,0,F
5,12,Emigrating,247,13268.7,F,1,0,1,0,0,F
5,12,Emigrating,388,3162.7,M,0,0,1,0,0,F
5,9,Emigrating,36,14455.9,F,0,0,1,0,0,F
5,8,Emigrating,87,10448.9,M,0,0,1,0,0,F
5,8,Emigrating,165,1868.75,F,0,0,1,0,0,F
5,6,Emigrating,33,326.433,M,0,0,1,0,0,F
5,4,Emigrating,194,3647.36,F,0,0,1,0,0,F
5,2,Emigrating,109,4050.87,F,0,0,1,0,0,F
5,4,Immigrating,109,4050.87,F,0,0,1,0,0,F
5,11,Immigrating,194,3647.36,F,0,0,1,0,0,F
5,1,Immigrating,33,326.433,M,0,0,1,0,0,F
5,13,Immigrating,165,1868.75,F,0,0,1,0,0,F
5,12,Immigrating,87,10448.9,M,0,0,1,0,0,F
5,13,Immigrating,36,14455.9,F,0,0,1,0,0,F
5,23,Immigrating,388,3162.7,M,0,0,1,0,0,F
5,6,Immigrating,247,13268.7,F,1,0,1,0,0,F
5,9,Immigrating,144,568.148,F,0,0,1,0,0,F
5,10,Immigrating,167,1038.71,F,0,0,1,0,0,F
5,18,Immigrating,176,4820.96,F,0,0,1,0,0,F
6,24,Emigrating,207,1582.68,M,0,0,1,0,0,F
6,20,Emigrating,255,3868.27,F,0,0,1,0,0,F
6,18,Emigrating,176,4821.96,F,0,0,1,0,0,F
6,17,Emigrating,159,3394.63,M,0,0,1,0,0,F
6,13,Emigrating,36,14456.9,F,0,0,1,0,0,F
6,12,Emigrating,91,10345.5,F,0,0,1,0,0,F
6,12,Emigrating,87,10449.9,M,0,0,1,0,0,F
6,12,Emigrating,351,5159.19,M,0,0,1,0,0,F
6,9,Emigrating,144,569.148,F,0,0,1,0,0,F
6,5,Emigrating,136,2189.82,M,0,0,1,0,0,F
6,1,Emigrating,33,327.433,M,0,0,1,0,0,F
6,6,Immigrating,33,327.433,M,0,0,1,0,0,F
6,8,Immigrating,136,2189.82,M,0,0,1,0,0,F
6,13,Immigrating,144,569.148,F,0,0,1,0,0,F
6,2,Immigrating,351,5159.19,M,0,0,1,0,0,F
6,8,Immigrating,87,10449.9,M,0,0,1,0,0,F
6,2,Immigrating,91,10345.5,F,0,0,1,0,0,F
6,9,Immigrating,36,14456.9,F,0,0,1,0,0,F
6,2,Immigrating,159,3394.63,M,0,0,1,0,0,F
6,19,Immigrating,176,4821.96,F,0,0,1,0,0,F
6,19,Immigrating,255,3868.27,F,0,0,1,0,0,F
6,18,Immigrating,207,1582.68,M,0,0,1,0,0,F
7,24,Emigrating,181,6243.09,F,0,0,1,0,0,F
7,23,Emigrating,102,24493.7,F,0,0,1,0,0,F
7,23,Emigrating,24,1712.77,F,0,0,1,0,0,F
7,18,Emigrating,207,1583.68,M,0,0,1,0,0,F
7,13,Emigrating,165,1870.75,F,0,0,1,0,0,F
7,12,Emigrating,195,1873.9,M,0,0,1,0,0,F
7,9,Emigrating,36,14457.9,F,0,0,1,0,0,F
7,8,Emigrating,136,2190.82,M,0,0,1,0,0,F
7,6,Emigrating,247,13270.7,F,1,0,1,0.006,0,F
7,2,Emigrating,81,4793.85,F,0,0,1,0,0,F
7,2,Emigrating,351,5160.19,M,0,0,1,0,0,F
7,1,Emigrating,2,16872.9,F,0,0,1,0,0,F
7,9,Immigrating,2,16872.9,F,0,0,1,0,0,F
7,12,Immigrating,351,5160.19,M,0,0,1,0,0,F
7,9,Immigrating,81,4793.85,F,0,0,1,0,0,F
7,12,Immigrating,247,13270.7,F,1,0,1,0.006,0,F
