Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
30,7,PFA_NoPartnerFound,15,4796.68,M,1,0,1,19791.2,0,T
30,7,PFA_NoPartnerFound,29,3009.66,F,1,0,1,19877.1,0,F
30,7,PFA_NoPartnerFound,36,1563.1,F,1,0,1,27714.4,0,F
30,7,PFA_NoPartnerFound,50,12378.9,F,1,0,1,15000,0,T
30,7,PFA_NoPartnerFound,57,1328.92,F,1,0,1,24623.3,0,F
30,7,PFA_NoPartnerFound,71,5394.45,M,1,0,1,21329.9,0,T
30,7,PFA_NoPartnerFound,78,5266.36,M,1,0,1,21688,0,T
30,7,PFA_NoPartnerFound,85,4926.15,M,1,0,1,19440.2,0,T
30,7,PFA_NoPartnerFound,99,8963.59,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,113,842.692,M,1,0,1,30268.3,0,F
30,7,PFA_NoPartnerFound,127,7130.12,M,1,0,1,18447.3,0,T
30,7,PFA_NoPartnerFound,134,1415.54,F,1,0,1,28800.4,0,F
30,7,PFA_NoPartnerFound,148,3188.82,F,1,0,1,22118.9,0,F
30,7,PFA_NoPartnerFound,155,5539.77,F,1,0,1,18942.4,0,T
30,7,PFA_NoPartnerFound,162,1050.23,F,1,0,1,17080.8,0,F
30,7,PFA_NoPartnerFound,176,5320.47,M,1,0,1,21535.2,0,T
30,7,PFA_NoPartnerFound,197,678.22,M,1,0,1,28539.8,0,F
30,7,PFA_NoPartnerFound,211,4989.92,M,1,0,1,21317.2,0,T
30,7,PFA_NoPartnerFound,218,1085.99,M,1,0,1,25575.1,0,F
30,7,PFA_NoPartnerFound,239,328.661,F,1,0,1,33566.4,0,F
30,7,PFA_NoPartnerFound,274,1194.95,F,1,0,1,25837.6,0,F
30,7,PFA_NoPartnerFound,281,4267.76,F,1,0,1,21277.3,0,T
30,7,PFA_NoPartnerFound,288,6264.27,M,1,0,1,20302.4,0,T
30,7,PFA_NoPartnerFound,295,24785.2,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,316,1651.13,F,1,0,1,24237.5,0,F
30,7,PFA_NoPartnerFound,337,1845.3,F,1,0,1,27264.5,0,F
30,7,PFA_NoPartnerFound,365,12228.1,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,386,22805.9,M,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,400,1007.27,M,1,0,1,26614.7,0,F
30,7,PFA_NoPartnerFound,414,12271,F,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,428,778.891,F,1,0,1,19964.8,0,F
30,7,PFA_NoPartnerFound,456,1656.16,M,1,0,1,27404.8,0,F
30,7,PFA_NoPartnerFound,477,2823.67,F,1,0,1,25975.1,0,F
30,7,PFA_NoPartnerFound,484,12268.9,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,498,24316.6,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,505,1001.87,M,1,0,1,30775.7,0,F
30,7,PFA_NoPartnerFound,519,5222.16,F,1,0,1,21815,0,T
30,7,PFA_NoPartnerFound,554,11633.5,M,1,0,1,16531.5,0,T
30,7,PFA_NoPartnerFound,568,1656.18,F,1,0,1,27404.6,0,F
30,7,PFA_NoPartnerFound,589,778.103,F,1,0,1,31351.2,0,F
30,7,PFA_NoPartnerFound,617,6365.57,F,1,0,1,16475.3,0,T
30,7,PFA_NoPartnerFound,624,4857.76,M,1,0,1,21708.8,0,T
30,7,PFA_NoPartnerFound,659,13973.7,F,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,680,32112.7,F,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,687,2592.09,F,1,0,1,20441.1,0,F
30,7,PFA_NoPartnerFound,694,2952.12,F,1,0,1,25427,0,F
30,7,PFA_NoPartnerFound,722,21323.2,F,1,0,1,10965.5,0,T
30,7,PFA_NoPartnerFound,729,4664.09,F,1,0,1,14397.6,0,T
30,7,PFA_NoPartnerFound,750,2439.12,F,1,0,1,23198.4,0,F
30,7,PFA_NoPartnerFound,757,4771.94,M,1,0,1,21972.3,0,T
30,7,PFA_NoPartnerFound,764,5409.79,M,1,0,1,19254.4,0,T
30,7,PFA_NoPartnerFound,771,6695.66,F,1,0,1,17581.1,0,T
30,7,PFA_NoPartnerFound,778,1649.92,M,1,0,1,27098.1,0,F
30,7,PFA_NoPartnerFound,785,4344.37,F,1,0,1,23333,0,T
30,7,PFA_NoPartnerFound,792,9402.59,M,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,813,4183.79,M,1,0,1,19358.1,0,T
30,7,PFA_NoPartnerFound,820,2463.5,M,1,0,1,25871.6,0,F
30,7,PFA_NoPartnerFound,855,9658.85,M,1,0,1,16531.3,0,T
30,7,PFA_NoPartnerFound,869,28310.3,F,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,897,21144.5,M,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,960,17036.7,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,988,13348.7,F,1,0,1,15853.1,0,T
30,7,PFA_NoPartnerFound,1002,6493.05,F,1,0,1,19792,0,T
30,7,PFA_NoPartnerFound,1037,636.808,F,1,0,1,31446.9,0,F
30,7,PFA_NoPartnerFound,1051,4817.14,F,1,0,1,19734.3,0,T
30,7,PFA_NoPartnerFound,1058,12427,F,1,0,1,16531.5,0,T
30,7,PFA_NoPartnerFound,1072,1707.77,F,1,0,1,28562,0,F
30,7,PFA_NoPartnerFound,1079,1145.87,F,1,0,1,22723.5,0,F
30,7,PFA_NoPartnerFound,1093,19201.1,F,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,1149,6058.2,F,1,0,1,19688.8,0,T
30,7,PFA_NoPartnerFound,1191,26521.1,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,1219,29364.7,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,1226,11541.4,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,1240,15030.2,F,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,1247,8488.29,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,1317,84.9066,M,1,0,1,34582.1,0,F
30,7,PFA_NoPartnerFound,1331,20014.3,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,1359,19554,F,1,0,1,16531.3,0,T
30,7,PFA_NoPartnerFound,1401,21850.7,F,1,0,1,12214.8,0,T
30,7,PFA_NoPartnerFound,1408,8884.98,M,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,1415,382.065,M,1,0,1,33153.7,0,F
30,7,PFA_NoPartnerFound,1422,10244.7,M,1,0,1,15000,0,T
30,7,PFA_NoPartnerFound,1429,34886.9,M,1,0,1,13560.1,0,T
30,7,PFA_NoPartnerFound,1443,14282.1,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,1478,3268.7,M,1,0,1,24471.2,0,F
30,7,PFA_NoPartnerFound,1499,1830.97,M,1,0,1,27708.7,0,F
30,7,PFA_NoPartnerFound,1527,1540.7,F,1,0,1,27631.7,0,F
30,7,PFA_NoPartnerFound,1541,4269.31,M,1,0,1,21271.6,0,T
30,7,PFA_NoPartnerFound,1548,22497.3,F,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,1583,5439.21,F,1,0,1,21207.9,0,T
30,7,PFA_NoPartnerFound,1625,12934.1,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,1632,13325.2,F,1,0,1,10965.5,0,T
30,7,PFA_NoPartnerFound,1646,6897.53,F,1,0,1,15575.3,0,T
30,7,PFA_NoPartnerFound,1653,3383.75,M,1,0,1,25394.5,0,F
30,7,PFA_NoPartnerFound,1660,6269.82,F,1,0,1,18414.5,0,T
30,7,PFA_NoPartnerFound,1674,11673.4,M,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,1695,6269.49,F,1,0,1,18415.2,0,T
30,7,PFA_NoPartnerFound,1702,10728.1,M,1,0,1,18149.5,0,T
30,7,PFA_NoPartnerFound,1744,663.869,F,1,0,1,31057.8,0,F
30,7,PFA_NoPartnerFound,1765,1042.83,F,1,0,1,29640.6,0,F
30,7,PFA_NoPartnerFound,1779,7770.08,M,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,1821,19598.6,F,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,1849,1613.94,M,1,0,1,24017.7,0,F
30,7,PFA_NoPartnerFound,1884,30902.3,M,1,0,1,14999.9,0,T
30,7,PFA_NoPartnerFound,1891,1395.86,F,1,0,1,25434.1,0,F
30,7,PFA_NoPartnerFound,1898,19442.6,F,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,1919,6667.41,M,1,0,1,15950.1,0,T
30,7,PFA_NoPartnerFound,1933,6398.96,F,1,0,1,18152.2,0,T
30,7,PFA_NoPartnerFound,1940,10963.6,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,1954,16628.9,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,1975,6346.99,F,1,0,1,20114,0,T
30,7,PFA_NoPartnerFound,2010,4882.99,F,1,0,1,21632.9,0,T
30,7,PFA_NoPartnerFound,2059,32980.4,F,1,0,1,16531.4,0,T
30,7,PFA_NoPartnerFound,2073,21019.4,M,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,2094,8130.11,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,2136,18331.4,M,1,0,1,18149.9,0,T
30,7,PFA_NoPartnerFound,2143,6099.91,F,1,0,1,13002,0,T
30,7,PFA_NoPartnerFound,2157,4081.93,F,1,0,1,23032.8,0,T
30,7,PFA_NoPartnerFound,2178,4820.24,F,1,0,1,21823.4,0,T
30,7,PFA_NoPartnerFound,2199,10411.6,M,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,2220,19057.4,F,1,0,1,16531.5,0,T
30,7,PFA_NoPartnerFound,2227,9009.47,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,2234,24140.1,F,1,0,1,13560,0,T
30,7,PFA_NoPartnerFound,2241,12927.8,F,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,2290,8320.03,F,1,0,1,16531.4,0,T
