node_id,acquireTime,acquireIndividualId,acquireIndividualAgeDays,acquireIndividualHasFever,acquireInfectionIds,concurrentInfectionIds,vectorId,transmitTime,transmitIndividualId,transmitInfectionIds,transmitGametocyteDensities
1,100,24,5207.52,0,"1","",0,0,0,"",""
1,100,18,612.812,0,"3","",0,0,0,"",""
1,100,54,7990.23,0,"5","",0,0,0,"",""
1,100,66,17780.3,0,"7","",0,0,0,"",""
1,100,78,7186.02,0,"9","",0,0,0,"",""
1,100,82,11894.6,0,"11","",0,0,0,"",""
1,100,90,677.292,0,"13","",0,0,0,"",""
2,100,73,7119.09,0,"2","",0,0,0,"",""
2,100,15,1652.6,0,"4","",0,0,0,"",""
2,100,25,140.981,0,"6","",0,0,0,"",""
2,100,95,274.751,0,"8","",0,0,0,"",""
2,100,47,2897,0,"10","",0,0,0,"",""
2,100,51,5676.99,0,"12","",0,0,0,"",""
2,100,71,116.195,0,"14","",0,0,0,"",""
2,100,75,15617.8,0,"16","",0,0,0,"",""
2,100,69,18664.8,0,"18","",0,0,0,"",""
2,144,97,19419.9,0,"20","",105233,127,71,"14","417.464"
2,144,101,4660.61,0,"22","",105233,127,71,"14","417.464"
2,145,73,7165.09,0,"24","2",76953,128,51,"12","67.8891"
2,145,11,29289.3,0,"26","",105987,127,25,"6","374.647"
2,145,91,773.101,0,"28","",107015,128,25,"6","283.701"
2,145,37,8003.17,0,"30","",105987,127,25,"6","374.647"
2,145,29,16231.9,0,"32","",105759,128,73,"2","55.6142"
2,145,47,2943,0,"34","10",105759,128,73,"2","55.6142"
2,145,27,500.152,0,"36","",76953,128,51,"12","67.8891"
2,145,19,15090.9,0,"38","",76953,128,51,"12","67.8891"
1,146,80,565.269,0,"15","",110885,129,73,"2","608.677"
1,146,34,2589,0,"17","",110885,129,73,"2","608.677"
2,146,25,187.981,0,"40","6",105931,128,25,"6","283.701"
2,146,67,2043.01,0,"42","",98483,128,47,"10","114.371"
1,147,2,955.94,0,"19","",102234,129,78,"9","604.12"
1,147,58,31867.7,0,"21","",102234,129,78,"9","604.12"
2,147,13,8173.56,0,"44","",104157,129,73,"2","608.677"
2,147,27,502.152,0,"46","36",104157,129,73,"2","608.677"
2,147,19,15092.9,0,"48","38",98537,130,47,"10","710.427"
2,147,21,13465.3,0,"50","",83249,130,47,"10","710.427"
2,147,67,2044.01,0,"52","42",107967,127,71,"14","417.464"
2,147,93,18649.8,0,"54","",106309,128,75,"16","54.6522"
1,148,40,4743.96,0,"23","",111962,129,18,"3","1400.41"
1,148,38,3495.98,0,"25","",98628,131,18,"3","3215.11"
1,148,22,11100,0,"27","",106738,130,24,"1","560.614"
1,148,58,31868.7,0,"29","21",110960,131,78,"9","2247.8"
1,148,34,2591,0,"31","17",98429,131,51,"12","2452.07"
2,148,85,5982.73,0,"56","",113948,131,24,"1","2592.23"
2,148,11,29292.3,0,"58","26",97541,129,51,"12","691.814"
2,148,13,8174.56,0,"60","44",100399,126,25,"6","28.6203"
2,148,97,19423.9,0,"62","20",110905,128,71,"14","316.131"
2,148,35,22404.2,0,"64","",105759,128,73,"2","55.6142"
2,148,99,31045,0,"66","",113643,131,75,"16","2235.18"
2,148,7,7141.66,0,"68","",113948,131,24,"1","2592.23"
2,148,63,2497.19,0,"70","",97541,129,51,"12","691.814"
1,149,98,9646.25,0,"33","",101750,128,24,"1","73.1569"
1,149,38,3496.98,0,"35","25",110364,131,18,"3","3215.11"
1,149,2,957.94,0,"37","19",108716,131,78,"9","2247.8"
1,149,64,11620.6,0,"39","",115106,132,82,"11","1694.38"
1,149,78,7236.02,0,"41","9",101750,128,24,"1","73.1569"
1,149,80,568.269,0,"43","15",110364,131,18,"3","3215.11"
1,149,56,8210.25,0,"45","",107486,129,24,"1","739.677"
2,149,73,7169.09,0,"72","2,24",105931,128,25,"6","283.701"
2,149,37,8007.17,0,"74","30",107049,131,47,"10","2826.24"
2,149,29,16235.9,0,"76","32",104687,132,51,"12","1858.51"
2,149,59,6967.47,0,"78","",94071,128,71,"14","316.131"
2,149,41,7646.66,0,"80","",106421,132,71,"14","2685.76"
2,149,99,31046,0,"82","66",105987,127,25,"6","374.647"
2,149,47,2947,0,"84","10,34",105493,132,25,"6","2207.03"
2,149,65,1076.35,0,"86","",112543,130,75,"16","454.53"
2,149,51,5726.99,0,"88","12",103339,130,75,"16","454.53"
2,149,61,3606.09,0,"90","",104687,132,51,"12","1858.51"
2,149,57,1083.99,0,"92","",94071,128,71,"14","316.131"
2,149,19,15094.9,0,"94","38,48",105931,128,25,"6","283.701"
2,149,75,15667.8,0,"96","16",105493,132,25,"6","2207.03"
2,149,101,4665.61,0,"98","22",98483,128,47,"10","114.371"
2,149,67,2046.01,0,"100","42,52",98483,128,47,"10","114.371"
1,150,18,663.812,0,"47","3",91580,128,82,"11","54.6518"
1,150,36,1124.47,0,"49","",112626,130,18,"3","1060.89"
1,150,38,3497.98,0,"51","25,35",101165,125,71,"14","38.7419"
1,150,86,8247.12,0,"53","",107222,133,82,"11","3905.31"
1,150,22,11102,0,"55","27",111898,132,82,"11","1694.38"
1,150,58,31870.7,0,"57","21,29",98552,131,18,"3","3215.11"
2,150,85,5984.73,0,"102","56",115165,132,73,"2","1673.19"
2,150,97,19425.9,0,"104","20,62",111657,132,51,"12","1858.51"
2,150,37,8008.17,0,"106","30,74",85519,129,71,"14","1715.98"
2,150,43,11360.8,0,"108","",114725,133,25,"6","3444.57"
2,150,47,2948,0,"110","10,34,84",111829,131,25,"6","2914.38"
2,150,51,5727.99,0,"112","12,88",106309,128,75,"16","54.6522"
2,150,7,7143.66,0,"114","68",111657,132,51,"12","1858.51"
2,150,63,2499.19,0,"116","70",92995,133,71,"14","4275.55"
2,150,61,3607.09,0,"118","90",111829,131,25,"6","2914.38"
2,150,27,505.152,0,"120","36,46",80440,130,71,"14","1299.44"
2,150,19,15095.9,0,"122","38,48,94",110949,133,25,"6","3444.57"
2,150,21,13468.3,0,"124","50",114725,133,25,"6","3444.57"
1,151,36,1125.47,0,"59","49",117218,134,82,"11","2960.42"
1,151,28,4487.72,0,"61","",111962,129,18,"3","1400.41"
1,151,86,8248.12,0,"63","53",106670,131,78,"9","2247.8"
1,151,20,6528.09,0,"65","",110885,129,73,"2","608.677"
1,151,50,3402.07,0,"67","",98429,131,51,"12","2452.07"
2,151,13,8177.56,0,"126","44,60",111761,132,47,"10","2141.87"
2,151,91,779.101,0,"128","28",88083,133,71,"14","4275.55"
2,151,43,11361.8,0,"130","108",116946,134,78,"9","3101.87"
2,151,7,7144.66,0,"132","68,114",88083,133,71,"14","4275.55"
2,151,61,3608.09,0,"134","90,118",116157,134,71,"14","3237.72"
2,151,27,506.152,0,"136","36,46,120",117431,134,71,"14","3237.72"
1,152,70,21141.3,0,"69","",110613,131,75,"16","2235.18"
1,152,18,665.812,0,"71","3,47",113146,134,82,"11","2960.42"
1,152,14,16256.1,0,"73","",101750,128,24,"1","73.1569"
1,152,22,11104,0,"75","27,55",107220,132,18,"3","2435.57"
1,152,50,3403.07,0,"77","67",101750,128,24,"1","73.1569"
1,152,82,11947.6,0,"79","11",107220,132,18,"3","2435.57"
2,152,73,7172.09,0,"138","2,24,72",106561,132,71,"14","2685.76"
2,152,13,8178.56,0,"140","44,60,126",112037,135,75,"16","4496.17"
2,152,97,19427.9,0,"142","20,62,104",104759,129,73,"2","608.677"
2,152,25,193.981,0,"144","6,40",107049,131,47,"10","2826.24"
2,152,29,16238.9,0,"146","32,76",113643,131,75,"16","2235.18"
2,152,41,7649.66,0,"148","80",110489,133,47,"10","4169.01"
2,152,47,2950,0,"150","10,34,84,110",107049,131,47,"10","2826.24"
2,152,65,1079.35,0,"152","86",100871,131,73,"2","2207.47"
2,152,27,507.152,0,"154","36,46,120,136",107049,131,47,"10","2826.24"
2,152,19,15097.9,0,"156","38,48,94,122",103339,130,75,"16","454.53"
2,152,81,23922,0,"158","",112037,135,75,"16","4496.17"
2,152,87,1378.14,0,"160","",108705,129,71,"14","1715.98"
2,152,101,4668.61,0,"162","22,98",110151,134,47,"10","3159.54"
2,152,93,18654.8,0,"164","54",113573,134,75,"16","3024.79"
1,153,74,2828.82,0,"81","",109106,132,18,"3","2435.57"
1,153,40,4748.96,0,"83","23",102234,129,78,"9","604.12"
1,153,38,3500.98,0,"85","25,35,51",102234,129,78,"9","604.12"
1,153,46,1799.99,0,"87","",109106,132,18,"3","2435.57"
1,153,14,16257.1,0,"89","73",112788,136,78,"9","3522.26"
1,153,58,31873.7,0,"91","21,29,57",117525,134,25,"6","2608.51"
1,153,56,8214.25,0,"93","45",108974,133,78,"9","4092.43"
1,153,82,11948.6,0,"95","11,79",112626,130,18,"3","1060.89"
