Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
9,1,84,101.708,105,0,F,52,22,23.546,42.4953,9,BROKEUP
1,1,21,172.948,175,0,F,56,36,27.4565,23.3839,61,BROKEUP
4,1,49,216.832,217,0,F,68,39,18.6237,28.6125,62,BROKEUP
5,1,56,220.843,224,0,F,98,74,24.6574,52.5564,55,BROKEUP
2,1,35,231.919,238,0,F,15,67,21.3426,19.5138,72,BROKEUP
6,1,70,257.675,259,0,F,44,96,25.6511,28.245,70,BROKEUP
17,1,182,274.101,280,0,F,4,22,31.9184,42.9748,37,BROKEUP
12,1,105,299.896,301,0,F,52,14,24.083,29.2526,63,BROKEUP
18,1,196,295.744,301,0,F,28,99,37.759,28.6985,33,BROKEUP
7,1,77,314.408,315,0,F,17,93,34.2131,31.1892,93,BROKEUP
20,1,210,313.599,315,0,F,2,53,48.223,54.204,26,BROKEUP
21,1,224,347.586,350,1,F,3,66,43.5637,26.2057,31,BROKEUP
16,1,175,360.636,364,2,F,63,13,19.1118,41.4972,80,BROKEUP
25,1,308,362.78,364,0,F,80,75,50.3814,52.4523,17,BROKEUP
22,1,266,374.4,378,0,F,50,76,40.2385,31.2392,52,BROKEUP
10,1,91,409.271,413,0,F,62,90,24.6554,34.7177,97,BROKEUP
13,1,112,475.084,476,0,F,85,87,32.2453,46.5178,128,BROKEUP
37,1,427,481.995,483,0,F,52,69,24.5817,20.6773,15,BROKEUP
33,1,385,535.658,539,0,F,47,60,37.3997,19.9424,46,BROKEUP
38,1,448,535.634,539,0,F,51,77,47.6229,17.9828,33,BROKEUP
23,1,287,560.516,567,1,F,8,9,40.6367,45.9067,93,BROKEUP
27,1,336,570.688,574,1,F,12,49,34.5463,21.2652,79,BROKEUP
32,1,385,573.964,574,0,F,10,99,39.304,29.4464,68,BROKEUP
40,1,525,658.665,665,0,F,19,46,49.9123,44.8737,51,BROKEUP
34,1,385,674.671,679,1,F,50,84,41.0632,27.6125,121,BROKEUP
46,1,665,693.134,700,0,F,26,69,17.7095,21.2718,11,BROKEUP
44,1,588,739.713,742,0,F,28,95,38.9673,16.016,43,BROKEUP
19,1,203,758.33,763,0,F,38,65,33.0058,39.8688,177,BROKEUP
49,1,714,778.909,784,0,F,62,6,25.6719,19.3869,12,BROKEUP
30,1,350,804.106,805,1,F,17,14,35.5556,30.6334,144,BROKEUP
36,1,413,813.684,819,1,F,98,66,26.2876,27.4906,134,BROKEUP
42,1,553,838.235,840,0,F,63,96,20.4159,29.8368,100,BROKEUP
