Time,Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness
14539.2,2000.33,1,PreDebut,18236,760.417,F,0,0
14539.2,2000.33,1,PostDebut,3,18138.3,F,0,0
14539.2,2000.33,1,PostDebut,4,17708.9,M,0,0
14539.2,2000.33,1,PostDebut,5,17153.5,M,0,0
14539.2,2000.33,1,PreDebut,15793,4684.17,F,0,0
14539.2,2000.33,1,PostDebut,7,16998.5,M,0,0
14539.2,2000.33,1,PostDebut,10051,14448,F,0,0
14539.2,2000.33,1,PreDebut,16851,2950.42,M,0,0
14539.2,2000.33,1,PreDebut,15670,4897.08,M,0,0
14539.2,2000.33,1,PostDebut,14626,6691.66,M,0,0
14539.2,2000.33,1,PostDebut,14192,7421.65,F,0,0
14539.2,2000.33,1,PostDebut,14391,7087.07,M,0,0
14539.2,2000.33,1,PreDebut,17627,1672.92,F,0,0
14539.2,2000.33,1,PreDebut,17819,1368.75,F,0,0
14539.2,2000.33,1,PostDebut,16,19411.5,M,0,0
14539.2,2000.33,1,PostDebut,14063,7634.57,F,0,0
14539.2,2000.33,1,PostDebut,14990,6083.33,M,0,0
14539.2,2000.33,1,PostDebut,19,16960,M,0,0
14539.2,2000.33,1,PreDebut,18378,547.5,F,0,0
14539.2,2000.33,1,PreDebut,17550,1794.58,M,0,0
14539.2,2000.33,1,PostDebut,22,16276,M,0,0
14539.2,2000.33,1,PostDebut,13810,8060.4,F,0,0
14539.2,2000.33,1,PostDebut,24,17409.8,F,0,0
14539.2,2000.33,1,PreDebut,16591,3406.67,M,0,0
14539.2,2000.33,1,PostDebut,10849,13048.8,F,0,0
14539.2,2000.33,1,PreDebut,16445,3619.59,M,0,0
14539.2,2000.33,1,PostDebut,12954,9490,F,0,0
14539.2,2000.33,1,PostDebut,29,18769.3,F,0,0
14539.2,2000.33,1,PreDebut,15365,5444.58,F,0,0
14539.2,2000.33,1,PostDebut,31,16574,F,0,0
14539.2,2000.33,1,PreDebut,18497,334.583,F,0,0
14539.2,2000.33,1,PreDebut,16335,3771.67,F,0,0
14539.2,2000.33,1,PostDebut,34,14752.1,F,0,0
14539.2,2000.33,1,PostDebut,35,19268.5,F,0,0
14539.2,2000.33,1,PreDebut,15207,5687.91,M,0,0
14539.2,2000.33,1,PostDebut,12627,10007.1,M,0,0
14539.2,2000.33,1,PostDebut,38,18571.2,F,0,0
14539.2,2000.33,1,PostDebut,39,16610.1,M,0,0
14539.2,2000.33,1,PostDebut,11691,11588.8,M,0,0
14539.2,2000.33,1,PostDebut,41,19378.9,M,0,0
14539.2,2000.33,1,PostDebut,42,14656.5,F,0,0
14539.2,2000.33,1,PreDebut,17736,1490.42,F,0,0
14539.2,2000.33,1,PreDebut,16126,4106.25,F,0,0
14539.2,2000.33,1,PreDebut,17841,1338.33,M,0,0
14539.2,2000.33,1,PreDebut,17215,2311.67,F,0,0
14539.2,2000.33,1,PreDebut,16570,3437.09,F,0,0
14539.2,2000.33,1,PreDebut,15294,5566.25,M,0,0
14539.2,2000.33,1,PostDebut,14095,7573.74,M,0,0
14539.2,2000.33,1,PreDebut,16485,3558.75,F,0,0
14539.2,2000.33,1,PostDebut,12290,10554.6,F,0,0
14539.2,2000.33,1,PostDebut,52,16779.1,M,0,0
14539.2,2000.33,1,PostDebut,53,16750.7,M,0,0
14539.2,2000.33,1,PostDebut,54,18966,M,0,0
14539.2,2000.33,1,PostDebut,11907,11193.3,F,0,0
14539.2,2000.33,1,PostDebut,56,18710,F,0,0
14539.2,2000.33,1,PreDebut,17648,1642.5,M,0,0
14539.2,2000.33,1,PostDebut,12953,9490,F,0,0
14539.2,2000.33,1,PostDebut,13948,7817.07,M,0,0
14539.2,2000.33,1,PostDebut,60,17507.6,F,0,0
14539.2,2000.33,1,PreDebut,15531,5140.42,M,0,0
14539.2,2000.33,1,PreDebut,15792,4684.17,M,0,0
14539.2,2000.33,1,PreDebut,16334,3771.67,M,0,0
14539.2,2000.33,1,PostDebut,64,17627.6,M,0,0
14539.2,2000.33,1,PostDebut,13809,8060.4,M,0,0
14539.2,2000.33,1,PreDebut,15403,5383.75,F,0,0
14539.2,2000.33,1,PostDebut,12375,10402.5,F,0,0
