Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
2020.42,1,0,0,90,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,1,91,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,2,92,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,3,111,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,4,109,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,5,85,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,6,99,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,7,84,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,8,96,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,9,103,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,10,78,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,11,86,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,12,77,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,13,96,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,14,91,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,15,95,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,16,81,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,17,81,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,18,103,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,19,78,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,20,70,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,21,93,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,22,104,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,23,92,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,24,102,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,25,87,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,26,104,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,27,100,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,28,106,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,29,87,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,30,76,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,31,89,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,32,91,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,33,102,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,34,94,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,35,84,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,36,88,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,37,97,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,38,81,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,39,86,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,40,82,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,41,90,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,42,92,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,43,93,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,44,113,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,45,84,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,46,104,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,47,94,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,48,89,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,49,95,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,50,95,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,51,84,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,52,73,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,53,92,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,54,93,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,55,8,0,0,0,47,0,0,0,0,0,0
2020.42,1,0,56,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,57,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,58,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,59,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,60,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,61,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,62,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,63,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,64,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,65,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,66,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,67,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,68,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,69,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,70,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,71,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,72,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,73,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,74,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,75,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,76,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,77,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,78,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,79,0,0,0,0,0,0,0,0,0,0,0
2020.42,1,0,80,0,0,0,0,0,0,0,0,0,0,0
