Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
2022.42,1,0,0,181,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,1,200,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,2,198,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,3,178,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,4,177,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,5,209,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,6,211,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,7,179,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,8,195,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,9,187,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,10,176,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,11,210,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,12,175,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,13,182,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,14,176,1,0,0,1,1,0,0,0,0,0
2022.42,1,0,15,193,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,16,186,3,1,0,0,0,0,0,0,0,0
2022.42,1,0,17,190,13,3,0,0,0,0,0,0,0,0
2022.42,1,0,18,168,14,1,0,0,0,0,0,0,0,0
2022.42,1,0,19,156,27,0,0,0,0,0,0,0,0,0
2022.42,1,0,20,190,36,0,0,0,0,0,0,0,0,0
2022.42,1,0,21,160,30,0,0,0,0,0,0,0,0,0
2022.42,1,0,22,161,15,3,0,0,0,0,0,0,0,0
2022.42,1,0,23,174,27,1,0,0,0,0,0,0,0,0
2022.42,1,0,24,189,28,1,0,0,0,0,0,0,0,0
2022.42,1,0,25,188,36,3,0,0,0,0,0,0,0,0
2022.42,1,0,26,181,35,2,0,0,0,0,0,0,0,0
2022.42,1,0,27,192,24,1,0,0,0,0,0,0,0,0
2022.42,1,0,28,192,36,5,0,0,0,0,0,0,0,0
2022.42,1,0,29,194,36,1,0,0,0,0,0,0,0,0
2022.42,1,0,30,191,28,5,0,0,0,0,0,0,0,0
2022.42,1,0,31,186,39,2,0,0,0,0,0,0,0,0
2022.42,1,0,32,164,32,4,0,0,0,0,0,0,0,0
2022.42,1,0,33,176,22,0,0,0,0,0,0,0,0,0
2022.42,1,0,34,192,27,3,0,0,0,0,0,0,0,0
2022.42,1,0,35,189,33,4,0,0,0,0,0,0,0,0
2022.42,1,0,36,184,26,2,0,1,1,0,0,0,0,0
2022.42,1,0,37,174,29,3,0,0,0,0,0,0,0,0
2022.42,1,0,38,168,20,1,0,1,1,0,0,0,0,0
2022.42,1,0,39,188,34,1,0,1,1,0,0,0,0,0
2022.42,1,0,40,161,24,4,0,0,0,0,0,0,0,0
2022.42,1,0,41,183,32,5,0,0,0,0,0,0,0,0
2022.42,1,0,42,170,29,4,0,0,0,0,0,0,0,0
2022.42,1,0,43,189,30,1,0,0,0,0,0,0,0,0
2022.42,1,0,44,190,28,0,0,0,0,0,0,0,0,0
2022.42,1,0,45,189,28,1,0,0,0,0,0,0,0,0
2022.42,1,0,46,200,30,2,0,0,0,0,0,0,0,0
2022.42,1,0,47,165,26,1,0,1,1,0,0,0,0,0
2022.42,1,0,48,219,27,2,0,0,0,0,0,0,0,0
2022.42,1,0,49,207,37,1,0,0,0,0,0,0,0,0
2022.42,1,0,50,187,27,1,0,1,1,0,0,0,0,0
2022.42,1,0,51,185,37,3,0,2,2,0,0,0,0,0
2022.42,1,0,52,169,35,3,0,1,1,0,0,0,0,0
2022.42,1,0,53,184,31,1,0,0,0,0,0,0,0,0
2022.42,1,0,54,159,26,2,0,0,0,0,0,0,0,0
2022.42,1,0,55,25,4,1,0,114,0,0,0,0,0,0
2022.42,1,0,56,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,57,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,58,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,59,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,60,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,61,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,62,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,63,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,64,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,65,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,66,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,67,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,68,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,69,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,70,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,71,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,72,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,73,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,74,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,75,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,76,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,77,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,78,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,79,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,80,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,81,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,82,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,83,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,84,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,85,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,86,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,87,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,88,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,89,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,90,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,91,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,92,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,93,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,94,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,95,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,96,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,97,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,98,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,0,99,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,0,194,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,1,149,63,0,0,3,3,0,0,0,0,0
2022.42,1,1,2,93,93,0,0,14,14,0,0,0,0,0
2022.42,1,1,3,87,87,0,0,7,7,0,0,0,0,0
2022.42,1,1,4,79,79,0,0,12,12,0,0,0,0,0
2022.42,1,1,5,93,93,0,0,11,11,0,0,0,0,0
2022.42,1,1,6,93,93,0,0,9,9,0,0,0,0,0
2022.42,1,1,7,89,89,0,0,7,7,0,0,0,0,0
2022.42,1,1,8,89,89,0,0,19,19,0,0,0,0,0
2022.42,1,1,9,84,84,0,0,15,15,0,0,0,0,0
2022.42,1,1,10,102,102,0,0,11,11,0,0,0,0,0
2022.42,1,1,11,91,91,0,0,14,14,0,0,0,0,0
2022.42,1,1,12,94,94,0,0,10,10,0,0,0,0,0
2022.42,1,1,13,85,85,0,0,15,15,0,0,0,0,0
2022.42,1,1,14,101,101,0,0,10,10,0,0,0,0,0
2022.42,1,1,15,84,84,0,0,11,11,0,0,0,0,0
2022.42,1,1,16,156,156,0,0,2,2,0,0,0,0,0
2022.42,1,1,17,171,171,0,0,1,1,0,0,0,0,0
2022.42,1,1,18,175,175,0,0,2,2,0,0,0,0,0
2022.42,1,1,19,197,197,0,0,1,1,0,0,0,0,0
2022.42,1,1,20,188,188,0,0,2,2,0,0,0,0,0
2022.42,1,1,21,180,180,0,0,0,0,0,0,0,0,0
2022.42,1,1,22,180,180,0,0,1,1,0,0,0,0,0
2022.42,1,1,23,202,202,0,0,1,1,0,0,0,0,0
2022.42,1,1,24,185,185,0,0,0,0,0,0,0,0,0
2022.42,1,1,25,170,170,0,0,1,1,0,0,0,0,0
2022.42,1,1,26,183,183,0,0,1,1,0,0,0,0,0
2022.42,1,1,27,184,184,0,0,2,2,0,0,0,0,0
2022.42,1,1,28,166,166,0,0,2,2,0,0,0,0,0
2022.42,1,1,29,180,180,0,0,2,2,0,0,0,0,0
2022.42,1,1,30,168,168,0,0,1,1,0,0,0,0,0
2022.42,1,1,31,169,169,0,0,1,1,0,0,0,0,0
2022.42,1,1,32,172,172,0,0,0,0,0,0,0,0,0
2022.42,1,1,33,148,148,0,0,2,2,0,0,0,0,0
2022.42,1,1,34,189,189,0,0,2,2,0,0,0,0,0
2022.42,1,1,35,155,155,0,0,2,2,0,0,0,0,0
2022.42,1,1,36,190,190,0,0,4,4,0,0,0,0,0
2022.42,1,1,37,166,166,0,0,2,2,0,0,0,0,0
2022.42,1,1,38,187,187,0,0,5,5,0,0,0,0,0
2022.42,1,1,39,181,181,0,0,5,5,0,0,0,0,0
2022.42,1,1,40,165,165,0,0,6,6,0,0,0,0,0
2022.42,1,1,41,174,174,0,0,1,1,0,0,0,0,0
2022.42,1,1,42,192,192,0,0,6,6,0,0,0,0,0
2022.42,1,1,43,178,178,0,0,2,2,0,0,0,0,0
2022.42,1,1,44,166,166,0,0,2,2,0,0,0,0,0
2022.42,1,1,45,159,159,0,0,2,2,0,0,0,0,0
2022.42,1,1,46,173,173,0,0,1,1,0,0,0,0,0
2022.42,1,1,47,163,163,0,0,4,4,0,0,0,0,0
2022.42,1,1,48,161,161,0,0,7,7,0,0,0,0,0
2022.42,1,1,49,169,169,0,0,2,2,0,0,0,0,0
2022.42,1,1,50,185,185,0,0,4,4,0,0,0,0,0
2022.42,1,1,51,163,163,0,0,4,4,0,0,0,0,0
2022.42,1,1,52,179,179,0,0,5,5,0,0,0,0,0
2022.42,1,1,53,167,167,0,0,3,3,0,0,0,0,0
2022.42,1,1,54,208,208,0,0,3,3,0,0,0,0,0
2022.42,1,1,55,18,18,0,0,92,1,0,0,0,0,0
2022.42,1,1,56,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,57,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,58,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,59,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,60,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,61,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,62,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,63,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,64,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,65,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,66,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,67,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,68,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,69,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,70,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,71,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,72,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,73,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,74,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,75,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,76,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,77,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,78,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,79,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,80,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,81,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,82,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,83,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,84,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,85,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,86,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,87,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,88,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,89,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,90,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,91,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,92,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,93,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,94,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,95,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,96,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,97,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,98,0,0,0,0,0,0,0,0,0,0,0
2022.42,1,1,99,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,0,193,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,1,185,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,2,208,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,3,185,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,4,174,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,5,198,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,6,207,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,7,193,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,8,189,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,9,188,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,10,176,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,11,202,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,12,196,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,13,183,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,14,171,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,15,181,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,16,183,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,17,186,4,1,0,0,0,0,0,0,0,0
2022.92,1,0,18,201,22,2,0,0,0,0,0,0,0,0
2022.92,1,0,19,151,24,2,0,0,0,0,0,0,0,0
2022.92,1,0,20,154,27,1,0,0,0,0,0,0,0,0
2022.92,1,0,21,192,41,2,0,0,0,0,0,0,0,0
2022.92,1,0,22,152,23,5,0,0,0,0,0,0,0,0
2022.92,1,0,23,169,26,1,0,0,0,0,0,0,0,0
2022.92,1,0,24,181,24,3,0,0,0,0,0,0,0,0
2022.92,1,0,25,194,38,3,0,0,0,0,0,0,0,0
2022.92,1,0,26,181,40,3,0,1,1,0,0,0,0,0
2022.92,1,0,27,184,31,4,0,0,0,0,0,0,0,0
2022.92,1,0,28,197,34,2,0,0,0,0,0,0,0,0
2022.92,1,0,29,189,38,1,0,0,0,0,0,0,0,0
2022.92,1,0,30,194,31,2,0,0,0,0,0,0,0,0
2022.92,1,0,31,200,43,4,0,0,0,0,0,0,0,0
2022.92,1,0,32,163,30,0,0,0,0,0,0,0,0,0
2022.92,1,0,33,170,30,1,0,1,1,0,0,0,0,0
2022.92,1,0,34,195,30,4,0,0,0,0,0,0,0,0
2022.92,1,0,35,173,30,4,0,0,0,0,0,0,0,0
2022.92,1,0,36,192,32,3,0,0,0,0,0,0,0,0
2022.92,1,0,37,174,32,3,0,1,1,0,0,0,0,0
2022.92,1,0,38,176,27,2,0,0,0,0,0,0,0,0
2022.92,1,0,39,189,31,2,0,0,0,0,0,0,0,0
2022.92,1,0,40,168,24,4,0,0,0,0,0,0,0,0
2022.92,1,0,41,178,37,2,0,0,0,0,0,0,0,0
2022.92,1,0,42,175,35,3,0,0,0,0,0,0,0,0
2022.92,1,0,43,176,29,1,0,0,0,0,0,0,0,0
2022.92,1,0,44,183,33,3,0,0,0,0,0,0,0,0
2022.92,1,0,45,189,24,0,0,0,0,0,0,0,0,0
2022.92,1,0,46,198,33,1,0,1,1,0,0,0,0,0
2022.92,1,0,47,186,35,3,0,1,1,0,0,0,0,0
2022.92,1,0,48,193,24,4,0,1,1,0,0,0,0,0
2022.92,1,0,49,197,36,2,0,0,0,0,0,0,0,0
2022.92,1,0,50,219,35,1,0,1,1,0,0,0,0,0
2022.92,1,0,51,182,31,4,0,2,2,0,0,0,0,0
2022.92,1,0,52,177,41,2,0,0,0,0,0,0,0,0
2022.92,1,0,53,169,31,0,0,0,0,0,0,0,0,0
2022.92,1,0,54,163,27,3,0,1,1,0,0,0,0,0
2022.92,1,0,55,14,2,0,0,84,0,0,0,0,0,0
2022.92,1,0,56,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,57,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,58,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,59,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,60,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,61,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,62,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,63,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,64,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,65,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,66,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,67,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,68,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,69,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,70,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,71,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,72,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,73,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,74,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,75,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,76,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,77,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,78,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,79,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,80,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,81,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,82,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,83,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,84,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,85,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,86,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,87,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,88,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,89,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,90,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,91,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,92,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,93,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,94,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,95,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,96,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,97,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,98,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,0,99,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,1,0,173,0,0,0,0,0,0,0,0,0,0
2022.92,1,1,1,192,0,0,0,1,1,0,0,0,0,0
2022.92,1,1,2,110,110,0,0,8,8,0,0,0,0,0
2022.92,1,1,3,68,68,0,0,6,6,0,0,0,0,0
2022.92,1,1,4,86,86,0,0,7,7,0,0,0,0,0
2022.92,1,1,5,70,70,0,0,7,7,0,0,0,0,0
2022.92,1,1,6,81,81,0,0,9,9,0,0,0,0,0
2022.92,1,1,7,93,93,0,0,4,4,0,0,0,0,0
2022.92,1,1,8,84,84,0,0,5,5,0,0,0,0,0
2022.92,1,1,9,73,73,0,0,5,5,0,0,0,0,0
2022.92,1,1,10,89,89,0,0,3,3,0,0,0,0,0
2022.92,1,1,11,88,88,0,0,3,3,0,0,0,0,0
2022.92,1,1,12,91,91,0,0,7,7,0,0,0,0,0
2022.92,1,1,13,80,80,0,0,4,4,0,0,0,0,0
2022.92,1,1,14,93,93,0,0,2,2,0,0,0,0,0
2022.92,1,1,15,83,83,0,0,6,6,0,0,0,0,0
2022.92,1,1,16,96,96,0,0,5,5,0,0,0,0,0
2022.92,1,1,17,188,188,0,0,1,1,0,0,0,0,0
2022.92,1,1,18,162,162,0,0,3,3,0,0,0,0,0
2022.92,1,1,19,199,199,0,0,0,0,0,0,0,0,0
2022.92,1,1,20,181,181,0,0,4,4,0,0,0,0,0
2022.92,1,1,21,188,188,0,0,3,3,0,0,0,0,0
2022.92,1,1,22,175,175,0,0,1,1,0,0,0,0,0
2022.92,1,1,23,190,190,0,0,1,1,0,0,0,0,0
2022.92,1,1,24,177,177,0,0,2,2,0,0,0,0,0
2022.92,1,1,25,185,185,0,0,4,4,0,0,0,0,0
2022.92,1,1,26,173,173,0,0,2,2,0,0,0,0,0
2022.92,1,1,27,189,189,0,0,4,4,0,0,0,0,0
2022.92,1,1,28,170,170,0,0,2,2,0,0,0,0,0
2022.92,1,1,29,163,163,0,0,4,4,0,0,0,0,0
2022.92,1,1,30,176,176,0,0,2,2,0,0,0,0,0
2022.92,1,1,31,171,171,0,0,1,1,0,0,0,0,0
2022.92,1,1,32,176,176,0,0,0,0,0,0,0,0,0
2022.92,1,1,33,142,142,0,0,1,1,0,0,0,0,0
2022.92,1,1,34,169,169,0,0,4,4,0,0,0,0,0
2022.92,1,1,35,179,179,0,0,1,1,0,0,0,0,0
2022.92,1,1,36,179,179,0,0,0,0,0,0,0,0,0
2022.92,1,1,37,173,173,0,0,4,4,0,0,0,0,0
2022.92,1,1,38,166,166,0,0,1,1,0,0,0,0,0
2022.92,1,1,39,203,203,0,0,0,0,0,0,0,0,0
2022.92,1,1,40,151,151,0,0,3,3,0,0,0,0,0
2022.92,1,1,41,172,172,0,0,3,3,0,0,0,0,0
2022.92,1,1,42,185,185,0,0,3,3,0,0,0,0,0
2022.92,1,1,43,170,170,0,0,4,4,0,0,0,0,0
2022.92,1,1,44,180,180,0,0,3,3,0,0,0,0,0
2022.92,1,1,45,150,150,0,0,2,2,0,0,0,0,0
2022.92,1,1,46,170,170,0,0,1,1,0,0,0,0,0
2022.92,1,1,47,170,170,0,0,5,5,0,0,0,0,0
2022.92,1,1,48,157,157,0,0,2,2,0,0,0,0,0
2022.92,1,1,49,162,162,0,0,3,3,0,0,0,0,0
2022.92,1,1,50,170,170,0,0,5,5,0,0,0,0,0
2022.92,1,1,51,175,175,0,0,2,2,0,0,0,0,0
2022.92,1,1,52,154,154,0,0,4,4,0,0,0,0,0
2022.92,1,1,53,173,173,0,0,4,4,0,0,0,0,0
2022.92,1,1,54,197,197,0,0,1,1,0,0,0,0,0
2022.92,1,1,55,20,20,0,0,98,0,0,0,0,0,0
2022.92,1,1,56,0,0,0,0,0,0,0,0,0,0,0
2022.92,1,1,57,0,0,0,0,0,0,0,0,0,0,0
