Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-Ad:X-Ad,0,0,0,0,0,0,0
0,1,X-Ad:X-Ade,0,0,0,0,0,0,0
0,1,X-Ad:X-Ae,0,0,0,0,0,0,0
0,1,X-Ad:X-Am,0,0,0,0,0,0,0
0,1,X-Ad:X-Aw,0,0,0,0,0,0,0
0,1,X-Ade:X-Ade,0,0,0,0,0,0,0
0,1,X-Ade:X-Ae,0,0,0,0,0,0,0
0,1,X-Ade:X-Am,0,0,0,0,0,0,0
0,1,X-Ade:X-Aw,0,0,0,0,0,0,0
0,1,X-Ae:X-Ae,0,0,0,0,0,0,0
0,1,X-Ae:X-Am,0,0,0,0,0,0,0
0,1,X-Ae:X-Aw,0,0,0,0,0,0,0
0,1,X-Am:X-Am,0,0,0,0,0,0,0
0,1,X-Am:X-Aw,0,0,0,0,0,0,0
0,1,X-Aw:X-Aw,8736,0,0,8736,0,0,288000
1,1,X-Ad:X-Ad,0,0,0,0,0,0,0
1,1,X-Ad:X-Ade,0,0,0,0,0,0,0
1,1,X-Ad:X-Ae,0,0,0,0,0,0,0
1,1,X-Ad:X-Am,0,0,0,0,0,0,0
1,1,X-Ad:X-Aw,0,0,0,0,0,0,0
1,1,X-Ade:X-Ade,0,0,0,0,0,0,0
1,1,X-Ade:X-Ae,0,0,0,0,0,0,0
1,1,X-Ade:X-Am,0,0,0,0,0,0,0
1,1,X-Ade:X-Aw,0,0,0,0,0,0,0
1,1,X-Ae:X-Ae,0,0,0,0,0,0,0
1,1,X-Ae:X-Am,0,0,0,0,0,0,0
1,1,X-Ae:X-Aw,0,0,0,0,0,0,0
1,1,X-Am:X-Am,0,0,0,0,0,0,0
1,1,X-Am:X-Aw,0,0,0,0,0,0,0
1,1,X-Aw:X-Aw,7539,0,0,7539,0,189821,271000
2,1,X-Ad:X-Ad,0,0,0,0,0,0,0
