Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0-b0:X-a0-b0,8669,0,0,8669,0,0,296000
0,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
0,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
0,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
0,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
0,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
0,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
0,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
0,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
0,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
0,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
0,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
0,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
0,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
0,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
0,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
1,1,X-a0-b0:X-a0-b0,7481,0,0,7481,0,189840,267500
1,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
1,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
1,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
1,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
1,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
1,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
1,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
1,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
1,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
1,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
1,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
1,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
1,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
1,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
1,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
2,1,X-a0-b0:X-a0-b0,6412,0,0,6412,0,254575,233500
2,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
2,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
2,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
2,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
2,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
2,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
2,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
2,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
2,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
2,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
2,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
2,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
2,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
2,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
2,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
3,1,X-a0-b0:X-a0-b0,5513,0,0,5513,0,323621,185900
3,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
3,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
3,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
3,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
3,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
3,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
3,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
3,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
3,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
3,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
3,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
3,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
3,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
3,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
3,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
4,1,X-a0-b0:X-a0-b0,4746,0,0,4746,0,385968,171400
4,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
4,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
4,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
4,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
4,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
4,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
4,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
4,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
4,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
4,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
4,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
4,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
4,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
4,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
4,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
5,1,X-a0-b0:X-a0-b0,3990,0,0,3990,0,442929,149700
5,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
5,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
5,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
5,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
5,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
5,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
5,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
5,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
5,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
5,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
5,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
5,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
5,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
5,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
5,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
6,1,X-a0-b0:X-a0-b0,3415,0,0,3415,0,495072,116000
6,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
6,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
6,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
6,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
6,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
6,1,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
6,1,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
6,1,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
6,1,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
6,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
6,1,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
6,1,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
6,1,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
6,1,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
6,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
7,1,X-a0-b0:X-a0-b0,2875,0,0,2875,0,542500,104300
7,1,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
7,1,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
7,1,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
7,1,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
