Time,NodeID,Species,MicrosporidiaStrain,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,SillySkeeter,NoMicrosporidia,8742,0,0,8742,9033,0,0,613800
0,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
0,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
0,340461476,SillySkeeter2,NoMicrosporidia,8742,0,0,8742,9023,0,0,610800
0,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
0,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
1,340461476,SillySkeeter,NoMicrosporidia,7652,0,0,7652,8139,0,20576,548000
1,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
1,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
1,340461476,SillySkeeter2,NoMicrosporidia,7666,0,0,7666,8140,0,20749,549000
1,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
1,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
2,340461476,SillySkeeter,NoMicrosporidia,6724,0,0,6724,7391,0,27219,481000
2,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
2,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
2,340461476,SillySkeeter2,NoMicrosporidia,6670,0,0,6670,7353,0,27209,486600
2,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
2,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
3,340461476,SillySkeeter,NoMicrosporidia,6015,0,0,6015,6704,0,34235,218200
3,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
3,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
3,340461476,SillySkeeter2,NoMicrosporidia,5932,0,0,5932,6638,0,34258,200400
3,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
3,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
4,340461476,SillySkeeter,NoMicrosporidia,5238,0,0,5238,6040,0,40551,375800
4,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
4,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
4,340461476,SillySkeeter2,NoMicrosporidia,5212,0,0,5212,6005,0,40312,369800
4,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
4,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
5,340461476,SillySkeeter,NoMicrosporidia,4596,0,0,4596,5470,0,45501,325400
5,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
5,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
5,340461476,SillySkeeter2,NoMicrosporidia,4563,0,0,4563,5418,0,45463,332600
5,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
5,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
6,340461476,SillySkeeter,NoMicrosporidia,4057,0,0,4057,4940,0,50371,223400
6,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
6,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
6,340461476,SillySkeeter2,NoMicrosporidia,3993,0,0,3993,4882,0,50547,214400
6,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
6,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
7,340461476,SillySkeeter,NoMicrosporidia,3597,0,0,3597,4472,0,54429,188400
7,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
7,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
7,340461476,SillySkeeter2,NoMicrosporidia,3524,0,0,3524,4392,0,54513,178600
7,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
7,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
8,340461476,SillySkeeter,NoMicrosporidia,3144,0,0,3144,4022,0,58142,222200
8,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
8,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
8,340461476,SillySkeeter2,NoMicrosporidia,3092,0,0,3092,3998,0,58293,222600
8,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
8,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
9,340461476,SillySkeeter,NoMicrosporidia,2748,0,0,2748,3655,0,61534,174400
9,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
9,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
9,340461476,SillySkeeter2,NoMicrosporidia,2713,0,0,2713,3627,0,61274,172200
9,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
9,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
10,340461476,SillySkeeter,NoMicrosporidia,2446,0,0,2446,3329,0,64295,133000
10,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
10,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
10,340461476,SillySkeeter2,NoMicrosporidia,2391,0,0,2391,3249,0,64266,127400
10,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
10,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
11,340461476,SillySkeeter,NoMicrosporidia,2122,0,0,2122,3006,0,66730,136600
11,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
11,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
11,340461476,SillySkeeter2,NoMicrosporidia,2083,0,0,2083,2952,0,66697,125600
11,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
11,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
12,340461476,SillySkeeter,NoMicrosporidia,1888,0,0,1888,2716,6753,62157,116600
12,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
12,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
12,340461476,SillySkeeter2,NoMicrosporidia,1802,0,0,1802,2646,6881,62163,123000
12,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
12,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
13,340461476,SillySkeeter,NoMicrosporidia,1639,0,0,1639,2427,8976,68776,97400
13,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
13,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
13,340461476,SillySkeeter2,NoMicrosporidia,1580,0,0,1580,2426,9101,68756,93000
13,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
13,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
14,340461476,SillySkeeter,NoMicrosporidia,1431,0,0,1431,2207,11363,69475,85800
14,340461476,SillySkeeter,Strain_A,0,0,0,0,0,0,0,0
14,340461476,SillySkeeter,Strain_B,0,0,0,0,0,0,0,0
14,340461476,SillySkeeter2,NoMicrosporidia,1373,0,0,1373,2203,11466,69639,77400
14,340461476,SillySkeeter2,Strain_C,0,0,0,0,0,0,0,0
14,340461476,SillySkeeter2,Strain_D,0,0,0,0,0,0,0,0
15,340461476,SillySkeeter,NoMicrosporidia,1259,0,0,1259,1965,13409,71508,80200
