Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,26186,0,0,26186,27111,0,0,1815400,907700,7122,0,1480,0,0,0,2915,760,139,5237.84,294.946,5819.82,1,1,1,0,0,0
1,340461476,1000,22829,0,0,22829,24439,0,11338,1624000,812000,6426,0,1269,0,0,0,2578,671,108,2468.92,153.442,2735.25,0.00848371,0.000498051,0.00960684,0,0,0
2,340461476,1000,19961,0,0,19961,22093,0,15616,1471800,735900,5866,0,1123,0,0,0,2150,590,128,1166.68,109.321,1230.31,0.00455857,0.000279494,0.00512795,0,0,0
3,340461476,1001,17579,0,0,17579,20017,0,16541,1206200,603100,4772,0,966,0,0,0,1822,473,87,18461.7,1013.92,20494.8,0.00243566,0.000223561,0.00244207,0,0,0
4,340461476,1001,15453,0,0,15453,18122,0,55199,1098600,549300,4357,0,830,0,0,0,1640,414,72,10042.4,610.448,11109.3,0.0445504,0.00259447,0.0511092,0,0,0
5,340461476,1001,13536,0,0,13536,16405,0,71803,996400,498200,3997,0,747,0,0,0,1450,390,77,2983.71,260.181,3243,0.0273188,0.00164011,0.0309624,0,0,0
6,340461476,1001,11873,0,0,11873,14830,0,71439,812600,406300,3136,0,714,0,0,0,1292,301,70,4526.26,371.636,5247.5,0.00920329,0.000802037,0.00932432,0,0,0
7,340461476,1001,10411,0,0,10411,13406,0,74818,746400,373200,2951,0,608,0,0,0,1086,305,71,4122.25,385.494,4514.94,0.01596,0.0014024,0.0198769,0,0,0
8,340461476,1001,9085,0,0,9085,12139,0,76584,665800,332900,2620,0,547,0,0,0,1032,243,51,4332.83,433.423,4706.02,0.0166623,0.00153951,0.0181615,0,0,0
9,340461476,1002,8023,0,0,8023,11030,0,78996,560600,280300,2204,0,456,0,0,0,797,222,43,6683.44,507.903,7437.93,0.0196768,0.00205025,0.020094,0,0,0
