Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0-b0:X-a0-b0,284,0,0,284,0,0,8724
0,1,X-a0-b0:X-a1-b0,187,0,0,187,0,0,5727
0,1,X-a0-b0:X-a0-b1,666,0,0,666,0,0,21686
0,1,X-a0-b0:X-a1-b1,441,0,0,441,0,0,13690
0,1,X-a1-b0:X-a0-b0,185,0,0,185,0,0,6212
0,1,X-a1-b0:X-a1-b0,121,0,0,121,0,0,4089
0,1,X-a1-b0:X-a0-b1,429,0,0,429,0,0,14726
0,1,X-a1-b0:X-a1-b1,293,0,0,293,0,0,9149
0,1,X-a0-b1:X-a0-b0,648,0,0,648,0,0,21988
0,1,X-a0-b1:X-a1-b0,432,0,0,432,0,0,14960
0,1,X-a0-b1:X-a0-b1,1545,0,0,1545,0,0,51650
0,1,X-a0-b1:X-a1-b1,1024,0,0,1024,0,0,33325
0,1,X-a1-b1:X-a0-b0,450,0,0,450,0,0,14830
0,1,X-a1-b1:X-a1-b0,303,0,0,303,0,0,9777
0,1,X-a1-b1:X-a0-b1,1033,0,0,1033,0,0,34186
0,1,X-a1-b1:X-a1-b1,688,0,0,688,0,0,22987
1,1,X-a0-b0:X-a0-b0,244,0,0,244,0,5761,8911
1,1,X-a0-b0:X-a1-b0,163,0,0,163,0,3707,6567
1,1,X-a0-b0:X-a0-b1,570,0,0,570,0,14317,20677
1,1,X-a0-b0:X-a1-b1,382,0,0,382,0,9021,14024
1,1,X-a1-b0:X-a0-b0,161,0,0,161,0,4057,5697
1,1,X-a1-b0:X-a1-b0,109,0,0,109,0,2693,3974
1,1,X-a1-b0:X-a0-b1,380,0,0,380,0,9745,13407
1,1,X-a1-b0:X-a1-b1,254,0,0,254,0,6098,9088
1,1,X-a0-b1:X-a0-b0,561,0,0,561,0,14469,19888
1,1,X-a0-b1:X-a1-b0,370,0,0,370,0,9886,13591
1,1,X-a0-b1:X-a0-b1,1332,0,0,1332,0,34021,48947
1,1,X-a0-b1:X-a1-b1,889,0,0,889,0,22053,32054
1,1,X-a1-b1:X-a0-b0,401,0,0,401,0,9781,12698
1,1,X-a1-b1:X-a1-b0,268,0,0,268,0,6554,9023
1,1,X-a1-b1:X-a0-b1,882,0,0,882,0,22520,31711
1,1,X-a1-b1:X-a1-b1,586,0,0,586,0,15254,20434
2,1,X-a0-b0:X-a0-b0,214,0,0,214,0,7927,8557
2,1,X-a0-b0:X-a1-b0,136,0,0,136,0,5384,5120
2,1,X-a0-b0:X-a0-b1,480,0,0,480,0,19247,18269
2,1,X-a0-b0:X-a1-b1,324,0,0,324,0,12466,11881
2,1,X-a1-b0:X-a0-b0,136,0,0,136,0,5397,5680
2,1,X-a1-b0:X-a1-b0,94,0,0,94,0,3637,3646
2,1,X-a1-b0:X-a0-b1,326,0,0,326,0,12947,12666
2,1,X-a1-b0:X-a1-b1,215,0,0,215,0,8291,8433
2,1,X-a0-b1:X-a0-b0,472,0,0,472,0,19124,18492
2,1,X-a0-b1:X-a1-b0,317,0,0,317,0,13074,12503
2,1,X-a0-b1:X-a0-b1,1175,0,0,1175,0,45679,42180
2,1,X-a0-b1:X-a1-b1,775,0,0,775,0,29813,29342
2,1,X-a1-b1:X-a0-b0,345,0,0,345,0,12828,12116
2,1,X-a1-b1:X-a1-b0,227,0,0,227,0,8681,8286
2,1,X-a1-b1:X-a0-b1,775,0,0,775,0,30076,29632
2,1,X-a1-b1:X-a1-b1,504,0,0,504,0,19922,20298
3,1,X-a0-b0:X-a0-b0,175,0,0,175,0,10487,5363
3,1,X-a0-b0:X-a1-b0,118,0,0,118,0,6853,3563
3,1,X-a0-b0:X-a0-b1,407,0,0,407,0,24270,13409
3,1,X-a0-b0:X-a1-b1,280,0,0,280,0,15693,8490
3,1,X-a1-b0:X-a0-b0,125,0,0,125,0,7084,4054
3,1,X-a1-b0:X-a1-b0,84,0,0,84,0,4729,2653
3,1,X-a1-b0:X-a0-b1,290,0,0,290,0,16504,9318
3,1,X-a1-b0:X-a1-b1,187,0,0,187,0,10575,5599
3,1,X-a0-b1:X-a0-b0,411,0,0,411,0,24378,14434
3,1,X-a0-b1:X-a1-b0,265,0,0,265,0,16553,9640
3,1,X-a0-b1:X-a0-b1,1023,0,0,1023,0,57236,33467
3,1,X-a0-b1:X-a1-b1,652,0,0,652,0,37943,21436
3,1,X-a1-b1:X-a0-b0,295,0,0,295,0,16011,9520
3,1,X-a1-b1:X-a1-b0,187,0,0,187,0,10960,6128
3,1,X-a1-b1:X-a0-b1,667,0,0,667,0,38466,22025
3,1,X-a1-b1:X-a1-b1,425,0,0,425,0,25716,13995
4,1,X-a0-b0:X-a0-b0,153,0,0,153,0,12277,5742
4,1,X-a0-b0:X-a1-b0,108,0,0,108,0,7971,4654
4,1,X-a0-b0:X-a0-b1,344,0,0,344,0,28725,13093
4,1,X-a0-b0:X-a1-b1,239,0,0,239,0,18588,9482
4,1,X-a1-b0:X-a0-b0,106,0,0,106,0,8479,3816
4,1,X-a1-b0:X-a1-b0,67,0,0,67,0,5605,2804
4,1,X-a1-b0:X-a0-b1,246,0,0,246,0,19565,8392
4,1,X-a1-b0:X-a1-b1,163,0,0,163,0,12398,6107
4,1,X-a0-b1:X-a0-b0,349,0,0,349,0,29318,13049
4,1,X-a0-b1:X-a1-b0,223,0,0,223,0,19798,8931
4,1,X-a0-b1:X-a0-b1,872,0,0,872,0,68828,31796
4,1,X-a0-b1:X-a1-b1,571,0,0,571,0,45204,20708
4,1,X-a1-b1:X-a0-b0,249,0,0,249,0,19395,8019
4,1,X-a1-b1:X-a1-b0,155,0,0,155,0,13047,5583
4,1,X-a1-b1:X-a0-b1,568,0,0,568,0,46004,20050
4,1,X-a1-b1:X-a1-b1,370,0,0,370,0,30396,13178
5,1,X-a0-b0:X-a0-b0,125,0,0,125,0,14158,5261
5,1,X-a0-b0:X-a1-b0,94,0,0,94,0,9716,3188
5,1,X-a0-b0:X-a0-b1,303,0,0,303,0,33030,11575
