Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
1000,26,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
1000,25,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,25,X-a0-b0:X-a1-b0,1,0,0,1,1,1,0
1000,25,X-a0-b0:X-a0-b1,1,0,0,1,0,3,112
1000,25,X-a0-b0:X-a1-b1,1,0,0,1,5,22,2018
1000,25,X-a1-b0:X-a0-b0,0,0,0,0,0,13,150
1000,25,X-a1-b0:X-a1-b0,6,0,0,6,5,82,1850
1000,25,X-a1-b0:X-a0-b1,10,1,0,9,7,43,863
1000,25,X-a1-b0:X-a1-b1,77,0,0,77,54,761,24517
1000,25,X-a0-b1:X-a0-b0,1,0,0,1,2,1,150
1000,25,X-a0-b1:X-a1-b0,8,0,1,7,8,56,450
1000,25,X-a0-b1:X-a0-b1,2,0,0,2,5,27,262
1000,25,X-a0-b1:X-a1-b1,46,0,0,46,42,447,15667
1000,25,X-a1-b1:X-a0-b0,5,0,0,5,6,79,2300
1000,25,X-a1-b1:X-a1-b0,117,0,0,117,65,1026,26500
1000,25,X-a1-b1:X-a0-b1,56,0,0,56,47,710,19813
1000,25,X-a1-b1:X-a1-b1,1038,0,0,1038,767,11201,360368
1000,24,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,24,X-a0-b0:X-a1-b0,0,0,0,0,0,1,112
1000,24,X-a0-b0:X-a0-b1,0,0,0,0,0,2,0
1000,24,X-a0-b0:X-a1-b1,0,0,0,0,1,27,337
1000,24,X-a1-b0:X-a0-b0,1,0,1,0,0,1,0
1000,24,X-a1-b0:X-a1-b0,2,0,0,2,2,31,1013
1000,24,X-a1-b0:X-a0-b1,6,0,0,6,5,55,300
1000,24,X-a1-b0:X-a1-b1,64,0,0,64,56,602,15938
1000,24,X-a0-b1:X-a0-b0,0,0,0,0,0,2,150
1000,24,X-a0-b1:X-a1-b0,8,0,0,8,3,41,1163
1000,24,X-a0-b1:X-a0-b1,8,0,0,8,4,34,3150
1000,24,X-a0-b1:X-a1-b1,70,0,0,70,42,627,25187
1000,24,X-a1-b1:X-a0-b0,5,0,1,4,7,71,2950
1000,24,X-a1-b1:X-a1-b0,80,0,0,80,75,821,26462
1000,24,X-a1-b1:X-a0-b1,87,0,0,87,66,786,27850
1000,24,X-a1-b1:X-a1-b1,1087,0,0,1087,877,11359,300787
1000,23,X-a0-b0:X-a0-b0,0,0,0,0,0,2,0
1000,23,X-a0-b0:X-a1-b0,0,0,0,0,0,5,113
1000,23,X-a0-b0:X-a0-b1,0,0,0,0,0,2,112
1000,23,X-a0-b0:X-a1-b1,5,0,1,4,3,30,449
1000,23,X-a1-b0:X-a0-b0,0,0,0,0,0,10,450
1000,23,X-a1-b0:X-a1-b0,4,0,0,4,4,42,2362
1000,23,X-a1-b0:X-a0-b1,4,0,0,4,4,51,1463
1000,23,X-a1-b0:X-a1-b1,64,0,0,64,55,615,20200
1000,23,X-a0-b1:X-a0-b0,1,0,0,1,0,9,0
1000,23,X-a0-b1:X-a1-b0,4,0,0,4,2,58,413
1000,23,X-a0-b1:X-a0-b1,6,0,0,6,2,37,1013
1000,23,X-a0-b1:X-a1-b1,68,0,0,68,47,633,21450
1000,23,X-a1-b1:X-a0-b0,8,0,0,8,5,49,2050
1000,23,X-a1-b1:X-a1-b0,75,0,0,75,83,822,25063
1000,23,X-a1-b1:X-a0-b1,69,0,0,69,69,946,23162
1000,23,X-a1-b1:X-a1-b1,1100,0,0,1100,834,11260,335200
1000,22,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,22,X-a0-b0:X-a1-b0,0,0,0,0,0,3,0
1000,22,X-a0-b0:X-a0-b1,0,0,0,0,1,2,113
