Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2253,0,0,2253,0,0,73625
0,340461476,X-a0:X-a1,2242,0,0,2242,0,0,74625
0,340461476,X-a1:X-a0,2241,0,0,2241,0,0,75625
0,340461476,X-a1:X-a1,2271,0,0,2271,0,0,76725
1,340461476,X-a0:X-a0,2048,0,0,2048,0,22963,69800
1,340461476,X-a0:X-a1,2055,0,0,2055,0,22994,67000
1,340461476,X-a1:X-a0,2039,0,0,2039,0,23393,68600
1,340461476,X-a1:X-a1,2063,0,0,2063,0,23781,67100
2,340461476,X-a0:X-a0,1842,0,0,1842,0,30528,62375
2,340461476,X-a0:X-a1,1862,0,0,1862,0,30362,63275
2,340461476,X-a1:X-a0,1830,0,0,1830,0,30872,62725
2,340461476,X-a1:X-a1,1868,0,0,1868,0,30981,64625
3,340461476,X-a0:X-a0,1671,0,0,1671,0,38255,55000
3,340461476,X-a0:X-a1,1680,0,0,1680,0,38334,55450
3,340461476,X-a1:X-a0,1639,0,0,1639,0,38763,55000
3,340461476,X-a1:X-a1,1691,0,0,1691,0,38940,57550
4,340461476,X-a0:X-a0,1517,0,0,1517,0,44751,51400
4,340461476,X-a0:X-a1,1519,0,0,1519,0,45070,49900
4,340461476,X-a1:X-a0,1478,0,0,1478,0,45322,49650
4,340461476,X-a1:X-a1,1516,0,0,1516,0,45769,50550
5,340461476,X-a0:X-a0,1371,0,0,1371,0,51078,46675
5,340461476,X-a0:X-a1,1391,0,0,1391,0,50825,47275
5,340461476,X-a1:X-a0,1328,0,0,1328,0,51274,46375
5,340461476,X-a1:X-a1,1387,0,0,1387,0,51827,48075
6,340461476,X-a0:X-a0,1243,0,0,1243,0,56447,40575
6,340461476,X-a0:X-a1,1259,0,0,1259,0,56174,40575
6,340461476,X-a1:X-a0,1184,0,0,1184,0,56482,39075
